date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,1.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,1.0
2020-02-28,1.0
2020-02-29,3.0
2020-03-01,3.0
2020-03-02,0.0
2020-03-03,2.0
2020-03-04,3.0
2020-03-05,5.0
2020-03-06,17.0
2020-03-07,6.0
2020-03-08,18.0
2020-03-09,0.0
2020-03-10,14.0
2020-03-11,4.0
2020-03-12,21.0
2020-03-13,26.0
2020-03-14,29.0
2020-03-15,58.0
2020-03-16,5.0
2020-03-17,32.0
2020-03-18,54.0
2020-03-19,123.0
2020-03-20,102.0
2020-03-21,183.0
2020-03-22,171.0
2020-03-23,188.0
2020-03-24,167.0
2020-03-25,1131.0
2020-03-26,324.0
2020-03-27,342.0
2020-03-28,584.0
2020-03-29,628.0
2020-03-30,448.0
2020-03-31,663.0
2020-04-01,734.0
2020-04-02,765.0
2020-04-03,571.0
2020-04-04,423.0
2020-04-05,579.0
2020-04-06,474.0
2020-04-07,344.0
2020-04-08,156.0
2020-04-09,564.0
2020-04-10,440.0
2020-04-11,335.0
2020-04-12,402.0
2020-04-13,441.0
2020-04-14,460.0
2020-04-15,455.0
2020-04-16,257.0
2020-04-17,224.0
2020-04-18,283.0
2020-04-19,226.0
2020-04-20,222.0
2020-04-21,229.0
2020-04-22,556.0
2020-04-23,305.0
2020-04-24,255.0
2020-04-25,240.0
2020-04-26,145.0
2020-04-27,112.0
2020-04-28,173.0
2020-04-29,106.0
2020-04-30,112.0
2020-05-01,155.0
2020-05-02,84.0
2020-05-03,23.0
2020-05-04,38.0
2020-05-05,43.0
2020-05-06,21.0
2020-05-07,71.0
2020-05-08,55.0
2020-05-09,18.0
2020-05-10,23.0
2020-05-11,29.0
2020-05-12,23.0
2020-05-13,19.0
2020-05-14,31.0
2020-05-15,10.0
2020-05-16,19.0
2020-05-17,9.0
2020-05-18,26.0
2020-05-19,16.0
2020-05-20,8.0
2020-05-21,16.0
2020-05-22,7.0
2020-05-23,22.0
2020-05-24,5.0
2020-05-25,17.0
2020-05-26,23.0
2020-05-27,36.0
2020-05-28,79.0
2020-05-29,115.0
2020-05-30,25.0
2020-05-31,59.0
2020-06-01,98.0
2020-06-02,116.0
2020-06-03,92.0
2020-06-04,118.0
2020-06-05,67.0
2020-06-06,190.0
2020-06-07,111.0
2020-06-08,169.0
2020-06-09,148.0
2020-06-10,175.0
2020-06-11,214.0
2020-06-12,226.0
2020-06-13,177.0
2020-06-14,83.0
2020-06-15,182.0
2020-06-16,258.0
2020-06-17,288.0
2020-06-18,253.0
2020-06-19,303.0
2020-06-20,294.0
2020-06-21,145.0
2020-06-22,304.0
2020-06-23,430.0
2020-06-24,532.0
2020-06-25,356.0
2020-06-26,400.0
2020-06-27,621.0
2020-06-28,334.0
2020-06-29,686.0
2020-06-30,803.0
2020-07-01,1013.0
2020-07-02,790.0
2020-07-03,1008.0
2020-07-04,1115.0
2020-07-05,788.0
2020-07-06,791.0
2020-07-07,1473.0
2020-07-08,1335.0
2020-07-09,1268.0
2020-07-10,1441.0
2020-07-11,1198.0
2020-07-12,1206.0
2020-07-13,1962.0
2020-07-14,1728.0
2020-07-15,1828.0
2020-07-16,1871.0
2020-07-17,1400.0
2020-07-18,1906.0
2020-07-19,924.0
2020-07-20,1714.0
2020-07-21,2039.0
2020-07-22,2043.0
2020-07-23,1897.0
2020-07-24,1493.0
2020-07-25,1203.0
2020-07-26,1278.0
2020-07-27,2029.0
2020-07-28,2308.0
2020-07-29,2006.0
2020-07-30,1737.0
2020-07-31,934.0
2020-08-01,1248.0
2020-08-02,597.0
2020-08-03,1615.0
2020-08-04,1768.0
2020-08-05,1721.0
2020-08-06,1640.0
2020-08-07,1432.0
2020-08-08,1333.0
2020-08-09,678.0
2020-08-10,1720.0
