date,current
2020-01-22,2
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,3
2020-01-27,3
2020-01-28,6
2020-01-29,6
2020-01-30,10
2020-01-31,14
2020-02-01,19
2020-02-02,19
2020-02-03,19
2020-02-04,21
2020-02-05,21
2020-02-06,44
2020-02-07,24
2020-02-08,24
2020-02-09,25
2020-02-10,22
2020-02-11,17
2020-02-12,19
2020-02-13,18
2020-02-14,19
2020-02-15,30
2020-02-16,46
2020-02-17,53
2020-02-18,60
2020-02-19,65
2020-02-20,75
2020-02-21,82
2020-02-22,99
2020-02-23,124
2020-02-24,136
2020-02-25,147
2020-02-26,165
2020-02-27,188
2020-02-28,202
2020-02-29,204
2020-03-01,218
2020-03-02,236
2020-03-03,244
2020-03-04,282
2020-03-05,311
2020-03-06,368
2020-03-07,379
2020-03-08,420
2020-03-09,425
2020-03-10,470
2020-03-11,506
2020-03-12,505
2020-03-13,564
2020-03-14,633
2020-03-15,699
2020-03-16,654
2020-03-17,705
2020-03-18,716
2020-03-19,745
2020-03-20,739
2020-03-21,740
