date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,2.0
2020-01-27,0.0
2020-01-28,3.0
2020-01-29,0.0
2020-01-30,4.0
2020-01-31,4.0
2020-02-01,5.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,2.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,3.0
2020-02-08,0.0
2020-02-09,1.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,2.0
2020-02-13,0.0
2020-02-14,1.0
2020-02-15,14.0
2020-02-16,16.0
2020-02-17,7.0
2020-02-18,8.0
2020-02-19,10.0
2020-02-20,10.0
2020-02-21,11.0
2020-02-22,17.0
2020-02-23,25.0
2020-02-24,12.0
2020-02-25,11.0
2020-02-26,19.0
2020-02-27,25.0
2020-02-28,14.0
2020-02-29,13.0
2020-03-01,15.0
2020-03-02,18.0
2020-03-03,19.0
2020-03-04,38.0
2020-03-05,29.0
2020-03-06,60.0
2020-03-07,41.0
2020-03-08,41.0
2020-03-09,9.0
2020-03-10,70.0
2020-03-11,58.0
2020-03-12,0.0
2020-03-13,62.0
2020-03-14,72.0
2020-03-15,66.0
2020-03-16,0.0
2020-03-17,39.0
2020-03-18,11.0
2020-03-19,35.0
2020-03-20,39.0
2020-03-21,44.0
2020-03-22,94.0
2020-03-23,27.0
2020-03-24,65.0
2020-03-25,114.0
2020-03-26,80.0
2020-03-27,81.0
2020-03-28,225.0
2020-03-29,173.0
2020-03-30,0.0
2020-03-31,87.0
2020-04-01,225.0
2020-04-02,317.0
2020-04-03,122.0
2020-04-04,522.0
2020-04-05,0.0
2020-04-06,515.0
2020-04-07,252.0
2020-04-08,351.0
2020-04-09,410.0
2020-04-10,863.0
2020-04-11,475.0
2020-04-12,743.0
2020-04-13,622.0
2020-04-14,275.0
2020-04-15,455.0
2020-04-16,526.0
2020-04-17,1161.0
2020-04-18,509.0
2020-04-19,501.0
2020-04-20,0.0
2020-04-21,338.0
2020-04-22,377.0
2020-04-23,856.0
2020-04-24,461.0
2020-04-25,402.0
2020-04-26,210.0
2020-04-27,712.0
2020-04-28,-417.0
2020-04-29,159.0
2020-04-30,193.0
2020-05-01,217.0
2020-05-02,266.0
2020-05-03,306.0
2020-05-04,201.0
2020-05-05,175.0
2020-05-06,0.0
2020-05-07,224.0
2020-05-08,98.0
2020-05-09,88.0
2020-05-10,114.0
2020-05-11,70.0
2020-05-12,121.0
2020-05-13,81.0
