date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,4
2020-03-14,6
2020-03-15,9
2020-03-16,10
2020-03-17,33
2020-03-18,35
2020-03-19,44
2020-03-20,49
2020-03-21,53
2020-03-22,60
2020-03-23,62
2020-03-24,72
2020-03-25,81
2020-03-26,111
2020-03-27,150
2020-03-28,228
2020-03-29,284
2020-03-30,302
2020-03-31,343
2020-04-01,380
2020-04-02,435
2020-04-03,464
2020-04-04,531
2020-04-05,584
2020-04-06,662
2020-04-07,697
2020-04-08,727
