date,current
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,2.0
2020-01-25,2.0
2020-01-26,3.0
2020-01-27,4.0
2020-01-28,4.0
2020-01-29,4.0
2020-01-30,4.0
2020-01-31,11.0
2020-02-01,12.0
2020-02-02,15.0
2020-02-03,15.0
2020-02-04,16.0
2020-02-05,19.0
2020-02-06,23.0
2020-02-07,23.0
2020-02-08,23.0
2020-02-09,22.0
2020-02-10,24.0
2020-02-11,25.0
2020-02-12,21.0
2020-02-13,21.0
2020-02-14,21.0
2020-02-15,19.0
2020-02-16,20.0
2020-02-17,20.0
2020-02-18,19.0
2020-02-19,19.0
2020-02-20,87.0
2020-02-21,186.0
2020-02-22,415.0
2020-02-23,578.0
2020-02-24,807.0
2020-02-25,945.0
2020-02-26,1227.0
2020-02-27,1731.0
2020-02-28,2302.0
2020-02-29,3107.0
2020-03-01,3689.0
2020-03-02,4277.0
2020-03-03,5128.0
2020-03-04,5545.0
2020-03-05,6012.0
2020-03-06,6416.0
2020-03-07,6862.0
2020-03-08,7146.0
2020-03-09,7307.0
2020-03-10,7212.0
2020-03-11,7407.0
2020-03-12,7470.0
2020-03-13,7403.0
2020-03-14,7504.0
2020-03-15,7577.0
2020-03-16,7024.0
2020-03-17,6832.0
2020-03-18,6789.0
2020-03-19,6934.0
2020-03-20,7018.0
2020-03-21,7157.0
2020-03-22,5884.0
2020-03-23,5884.0
