date,recovered
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,1.0
2020-02-08,1.0
2020-02-09,3.0
2020-02-10,3.0
2020-02-11,3.0
2020-02-12,7.0
2020-02-13,7.0
2020-02-14,7.0
2020-02-15,9.0
2020-02-16,9.0
2020-02-17,10.0
2020-02-18,12.0
2020-02-19,12.0
2020-02-20,16.0
2020-02-21,16.0
2020-02-22,16.0
2020-02-23,18.0
2020-02-24,18.0
2020-02-25,22.0
2020-02-26,22.0
2020-02-27,22.0
2020-02-28,22.0
2020-02-29,27.0
2020-03-01,30.0
2020-03-02,30.0
2020-03-03,30.0
2020-03-04,41.0
2020-03-05,41.0
2020-03-06,135.0
2020-03-07,135.0
2020-03-08,118.0
2020-03-09,118.0
2020-03-10,247.0
2020-03-11,288.0
2020-03-12,333.0
2020-03-13,510.0
2020-03-14,510.0
2020-03-15,510.0
2020-03-16,1137.0
2020-03-17,1407.0
2020-03-18,1540.0
2020-03-19,1540.0
2020-03-20,1540.0
2020-03-21,1540.0
2020-03-22,2909.0
