date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,1
2020-04-07,3
2020-04-08,5
2020-04-09,6
2020-04-10,7
2020-04-11,7
2020-04-12,7
2020-04-13,7
2020-04-14,8
2020-04-15,8
2020-04-16,9
2020-04-17,11
2020-04-18,12
2020-04-19,12
2020-04-20,12
2020-04-21,15
2020-04-22,18
2020-04-23,18
2020-04-24,19
2020-04-25,19
2020-04-26,20
2020-04-27,21
2020-04-28,22
2020-04-29,22
2020-04-30,22
2020-05-01,22
2020-05-02,22
2020-05-03,22
2020-05-04,22
2020-05-05,26
2020-05-06,26
2020-05-07,26
2020-05-08,27
2020-05-09,28
2020-05-10,28
2020-05-11,28
2020-05-12,28
2020-05-13,29
2020-05-14,29
2020-05-15,29
2020-05-16,29
2020-05-17,29
2020-05-18,29
2020-05-19,29
2020-05-20,29
2020-05-21,29
2020-05-22,29
2020-05-23,29
2020-05-24,29
2020-05-25,30
2020-05-26,30
2020-05-27,30
2020-05-28,30
2020-05-29,30
2020-05-30,30
2020-05-31,30
2020-06-01,30
2020-06-02,30
2020-06-03,30
2020-06-04,30
2020-06-05,30
2020-06-06,30
2020-06-07,30
2020-06-08,31
2020-06-09,31
2020-06-10,31
2020-06-11,31
2020-06-12,31
2020-06-13,31
2020-06-14,32
2020-06-15,33
2020-06-16,33
2020-06-17,34
2020-06-18,34
2020-06-19,34
2020-06-20,34
2020-06-21,35
2020-06-22,36
2020-06-23,37
2020-06-24,38
2020-06-25,40
2020-06-26,42
2020-06-27,44
2020-06-28,48
2020-06-29,49
2020-06-30,49
2020-07-01,51
2020-07-02,54
2020-07-03,55
2020-07-04,58
2020-07-05,66
2020-07-06,75
2020-07-07,79
2020-07-08,82
2020-07-09,86
2020-07-10,94
2020-07-11,97
2020-07-12,101
2020-07-13,102
2020-07-14,108
2020-07-15,112
2020-07-16,118
2020-07-17,124
2020-07-18,130
2020-07-19,135
2020-07-20,139
2020-07-21,144
2020-07-22,150
2020-07-23,158
2020-07-24,164
2020-07-25,169
2020-07-26,177
2020-07-27,185
2020-07-28,192
2020-07-29,196
2020-07-30,212
2020-07-31,212
2020-08-01,212
2020-08-02,249
2020-08-03,256
2020-08-04,296
2020-08-05,296
2020-08-06,300
2020-08-07,303
2020-08-08,303
