date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,4
2020-04-07,4
2020-04-08,4
2020-04-09,4
2020-04-10,5
2020-04-11,5
2020-04-12,5
2020-04-13,5
2020-04-14,5
2020-04-15,5
2020-04-16,5
2020-04-17,5
2020-04-18,5
2020-04-19,5
2020-04-20,7
2020-04-21,7
2020-04-22,7
2020-04-23,8
2020-04-24,8
2020-04-25,8
2020-04-26,8
2020-04-27,8
2020-04-28,8
2020-04-29,8
2020-04-30,8
2020-05-01,8
2020-05-02,8
2020-05-03,10
2020-05-04,10
2020-05-05,11
2020-05-06,12
2020-05-07,12
2020-05-08,12
2020-05-09,12
2020-05-10,12
2020-05-11,12
2020-05-12,12
2020-05-13,12
2020-05-14,12
2020-05-15,14
2020-05-16,14
2020-05-17,14
2020-05-18,14
2020-05-19,14
2020-05-20,14
2020-05-21,14
2020-05-22,14
2020-05-23,14
2020-05-24,14
2020-05-25,16
2020-05-26,16
2020-05-27,16
2020-05-28,16
2020-05-29,16
2020-05-30,16
2020-05-31,16
2020-06-01,16
2020-06-02,17
2020-06-03,20
2020-06-04,20
2020-06-05,22
2020-06-06,22
2020-06-07,22
2020-06-08,23
2020-06-09,24
2020-06-10,26
2020-06-11,26
2020-06-12,26
2020-06-13,27
2020-06-14,27
2020-06-15,28
2020-06-16,30
2020-06-17,31
2020-06-18,31
2020-06-19,32
2020-06-20,35
2020-06-21,40
2020-06-22,40
2020-06-23,42
2020-06-24,43
2020-06-25,43
2020-06-26,46
2020-06-27,46
2020-06-28,50
2020-06-29,57
2020-06-30,61
2020-07-01,66
2020-07-02,76
2020-07-03,76
2020-07-04,78
2020-07-05,88
2020-07-06,99
2020-07-07,107
2020-07-08,116
2020-07-09,122
2020-07-10,125
2020-07-11,129
2020-07-12,147
2020-07-13,149
2020-07-14,149
2020-07-15,165
2020-07-16,167
2020-07-17,173
2020-07-18,900
2020-07-19,1037
2020-07-20,1037
2020-07-21,1079
2020-07-22,1111
2020-07-23,1211
2020-07-24,1211
2020-07-25,1249
2020-07-26,1277
2020-07-27,1301
2020-07-28,1329
2020-07-29,1347
2020-07-30,1364
2020-07-31,1378
2020-08-01,1397
2020-08-02,1409
2020-08-03,1420
2020-08-04,1427
2020-08-05,1438
2020-08-06,1447
2020-08-07,1451
2020-08-08,1459
2020-08-09,1468
