date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,3.0
2020-03-19,0.0
2020-03-20,3.0
2020-03-21,8.0
2020-03-22,0.0
2020-03-23,2.0
2020-03-24,26.0
2020-03-25,2.0
2020-03-26,0.0
2020-03-27,14.0
2020-03-28,0.0
2020-03-29,26.0
2020-03-30,10.0
2020-03-31,13.0
2020-04-01,4.0
2020-04-02,5.0
2020-04-03,14.0
2020-04-04,14.0
2020-04-05,3.0
2020-04-06,69.0
2020-04-07,12.0
2020-04-08,42.0
2020-04-09,10.0
2020-04-10,18.0
2020-04-11,41.0
2020-04-12,38.0
2020-04-13,42.0
2020-04-14,11.0
2020-04-15,19.0
2020-04-16,17.0
2020-04-17,23.0
2020-04-18,17.0
2020-04-19,48.0
2020-04-20,14.0
2020-04-21,22.0
2020-04-22,22.0
2020-04-23,19.0
2020-04-24,34.0
2020-04-25,0.0
2020-04-26,17.0
2020-04-27,13.0
2020-04-28,13.0
2020-04-29,21.0
2020-04-30,17.0
2020-05-01,10.0
2020-05-02,13.0
2020-05-03,26.0
2020-05-04,35.0
2020-05-05,13.0
2020-05-06,28.0
2020-05-07,24.0
2020-05-08,11.0
2020-05-09,25.0
2020-05-10,71.0
2020-05-11,14.0
2020-05-12,21.0
2020-05-13,7.0
2020-05-14,38.0
2020-05-15,29.0
2020-05-16,6.0
2020-05-17,21.0
2020-05-18,78.0
2020-05-19,27.0
2020-05-20,27.0
2020-05-21,43.0
2020-05-22,37.0
2020-05-23,15.0
2020-05-24,38.0
2020-05-25,30.0
2020-05-26,35.0
2020-05-27,52.0
2020-05-28,74.0
2020-05-29,68.0
2020-05-30,60.0
