date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,1
2020-04-07,2
2020-04-08,2
2020-04-09,3
2020-04-10,3
2020-04-11,3
2020-04-12,5
2020-04-13,5
2020-04-14,5
2020-04-15,5
2020-04-16,5
2020-04-17,5
2020-04-18,5
2020-04-19,5
2020-04-20,5
2020-04-21,9
2020-04-22,11
2020-04-23,11
2020-04-24,12
2020-04-25,12
2020-04-26,12
2020-04-27,13
2020-04-28,13
2020-04-29,15
2020-04-30,15
2020-05-01,16
2020-05-02,16
2020-05-03,16
2020-05-04,16
2020-05-05,17
2020-05-06,17
2020-05-07,18
2020-05-08,18
2020-05-09,18
2020-05-10,18
2020-05-11,18
2020-05-12,18
2020-05-13,19
2020-05-14,19
2020-05-15,19
2020-05-16,19
2020-05-17,19
2020-05-18,19
2020-05-19,21
2020-05-20,21
2020-05-21,22
2020-05-22,22
2020-05-23,22
2020-05-24,22
2020-05-25,22
2020-05-26,22
2020-05-27,23
2020-05-28,24
2020-05-29,24
2020-05-30,24
2020-05-31,24
2020-06-01,24
2020-06-02,24
2020-06-03,24
2020-06-04,25
2020-06-05,25
2020-06-06,25
2020-06-07,25
2020-06-08,26
2020-06-09,26
2020-06-10,26
2020-06-11,26
2020-06-12,27
2020-06-13,28
2020-06-14,28
2020-06-15,28
2020-06-16,28
2020-06-17,30
2020-06-18,30
2020-06-19,30
2020-06-20,30
2020-06-21,30
2020-06-22,30
2020-06-23,30
2020-06-24,30
2020-06-25,30
2020-06-26,30
2020-06-27,30
2020-06-28,30
2020-06-29,30
2020-06-30,30
2020-07-01,30
2020-07-02,30
2020-07-03,30
2020-07-04,30
2020-07-05,30
2020-07-06,30
2020-07-07,30
2020-07-08,30
2020-07-09,30
2020-07-10,30
2020-07-11,30
2020-07-12,30
2020-07-13,31
2020-07-14,31
2020-07-15,31
2020-07-16,31
2020-07-17,31
2020-07-18,31
2020-07-19,31
2020-07-20,31
2020-07-21,31
2020-07-22,31
2020-07-23,31
2020-07-24,31
2020-07-25,31
2020-07-26,31
2020-07-27,31
2020-07-28,31
2020-07-29,31
2020-07-30,31
2020-07-31,32
2020-08-01,32
2020-08-02,32
2020-08-03,32
2020-08-04,32
2020-08-05,32
2020-08-06,32
2020-08-07,32
2020-08-08,32
2020-08-09,32
2020-08-10,32
2020-08-11,32
2020-08-12,32
2020-08-13,32
2020-08-14,32
2020-08-15,32
2020-08-16,32
2020-08-17,32
2020-08-18,33
2020-08-19,33
2020-08-20,33
2020-08-21,33
2020-08-22,33
2020-08-23,33
2020-08-24,33
2020-08-25,33
2020-08-26,33
2020-08-27,34
2020-08-28,34
2020-08-29,34
2020-08-30,34
2020-08-31,34
2020-09-01,34
2020-09-02,34
2020-09-03,34
2020-09-04,35
2020-09-05,35
2020-09-06,35
2020-09-07,35
2020-09-08,35
2020-09-09,35
2020-09-10,35
2020-09-11,35
2020-09-12,35
2020-09-13,35
2020-09-14,35
2020-09-15,35
2020-09-16,35
2020-09-17,36
2020-09-18,36
2020-09-19,36
2020-09-20,36
2020-09-21,36
2020-09-22,36
2020-09-23,36
2020-09-24,36
2020-09-25,36
2020-09-26,36
2020-09-27,36
2020-09-28,36
2020-09-29,37
2020-09-30,37
2020-10-01,37
2020-10-02,38
2020-10-03,38
2020-10-04,38
2020-10-05,39
2020-10-06,40
2020-10-07,40
2020-10-08,40
2020-10-09,40
2020-10-10,40
2020-10-11,40
2020-10-12,40
