date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,1.0
2020-03-09,4.0
2020-03-10,2.0
2020-03-11,2.0
2020-03-12,0.0
2020-03-13,7.0
2020-03-14,9.0
2020-03-15,4.0
2020-03-16,4.0
2020-03-17,15.0
2020-03-18,22.0
2020-03-19,15.0
2020-03-20,25.0
2020-03-21,13.0
2020-03-22,15.0
2020-03-23,41.0
2020-03-24,17.0
2020-03-25,24.0
2020-03-26,23.0
2020-03-27,36.0
2020-03-28,25.0
2020-03-29,42.0
2020-03-30,29.0
2020-03-31,22.0
2020-04-01,48.0
2020-04-02,12.0
2020-04-03,35.0
2020-04-04,16.0
2020-04-05,24.0
2020-04-06,9.0
2020-04-07,6.0
2020-04-08,29.0
2020-04-09,12.0
2020-04-10,23.0
2020-04-11,18.0
2020-04-12,21.0
2020-04-13,4.0
2020-04-14,2.0
2020-04-15,9.0
2020-04-16,9.0
2020-04-17,7.0
2020-04-18,30.0
2020-04-19,15.0
2020-04-20,12.0
2020-04-21,9.0
2020-04-22,13.0
2020-04-23,17.0
2020-04-24,6.0
2020-04-25,20.0
2020-04-26,8.0
2020-04-27,6.0
2020-04-28,18.0
2020-04-29,13.0
2020-04-30,9.0
2020-05-01,12.0
2020-05-02,1.0
2020-05-03,8.0
2020-05-04,17.0
2020-05-05,0.0
2020-05-06,4.0
2020-05-07,9.0
2020-05-08,19.0
2020-05-09,2.0
2020-05-10,9.0
2020-05-11,7.0
2020-05-12,4.0
2020-05-13,1.0
2020-05-14,11.0
2020-05-15,8.0
2020-05-16,27.0
2020-05-17,11.0
2020-05-18,1.0
2020-05-19,3.0
2020-05-20,4.0
2020-05-21,9.0
2020-05-22,5.0
2020-05-23,16.0
2020-05-24,1.0
2020-05-25,2.0
2020-05-26,4.0
2020-05-27,4.0
2020-05-28,4.0
2020-05-29,3.0
2020-05-30,1.0
