date,current
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,1.0
2020-02-22,1.0
2020-02-23,1.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,2.0
2020-02-27,2.0
2020-02-28,2.0
2020-02-29,4.0
2020-03-01,10.0
2020-03-02,13.0
2020-03-03,13.0
2020-03-04,12.0
2020-03-05,15.0
2020-03-06,21.0
2020-03-07,21.0
2020-03-08,31.0
2020-03-09,31.0
2020-03-10,39.0
2020-03-11,57.0
2020-03-12,57.0
2020-03-13,73.0
2020-03-14,89.0
2020-03-15,106.0
2020-03-16,95.0
2020-03-17,114.0
2020-03-18,127.0
2020-03-19,149.0
2020-03-20,155.0
2020-03-21,179.0
2020-03-22,236.0
