date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,1.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,2.0
2020-03-01,6.0
2020-03-02,3.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,3.0
2020-03-06,6.0
2020-03-07,0.0
2020-03-08,10.0
2020-03-09,0.0
2020-03-10,9.0
2020-03-11,20.0
2020-03-12,0.0
2020-03-13,16.0
2020-03-14,16.0
2020-03-15,17.0
2020-03-16,0.0
2020-03-17,10.0
2020-03-18,13.0
2020-03-19,24.0
2020-03-20,6.0
2020-03-21,24.0
2020-03-22,61.0
2020-03-23,19.0
2020-03-24,51.0
2020-03-25,15.0
2020-03-26,35.0
2020-03-27,23.0
2020-03-28,21.0
2020-03-29,26.0
2020-03-30,8.0
2020-03-31,24.0
2020-04-01,9.0
2020-04-02,15.0
2020-04-03,14.0
2020-04-04,12.0
2020-04-05,7.0
2020-04-06,14.0
2020-04-07,7.0
2020-04-08,28.0
2020-04-09,6.0
2020-04-10,27.0
2020-04-11,10.0
2020-04-12,11.0
2020-04-13,2.0
2020-04-14,9.0
2020-04-15,17.0
2020-04-16,5.0
2020-04-17,5.0
2020-04-18,4.0
2020-04-19,1.0
2020-04-20,4.0
2020-04-21,0.0
2020-04-22,5.0
2020-04-23,6.0
2020-04-24,8.0
2020-04-25,8.0
2020-04-26,3.0
2020-04-27,3.0
2020-04-28,7.0
2020-04-29,4.0
2020-04-30,4.0
2020-05-01,4.0
2020-05-02,4.0
2020-05-03,4.0
2020-05-04,3.0
2020-05-05,1.0
2020-05-06,9.0
2020-05-07,34.0
2020-05-08,12.0
2020-05-09,13.0
2020-05-10,36.0
2020-05-11,14.0
2020-05-12,11.0
2020-05-13,8.0
2020-05-14,8.0
2020-05-15,5.0
2020-05-16,11.0
2020-05-17,9.0
2020-05-18,20.0
2020-05-19,23.0
2020-05-20,7.0
2020-05-21,63.0
2020-05-22,62.0
2020-05-23,11.0
2020-05-24,17.0
2020-05-25,5.0
2020-05-26,21.0
2020-05-27,21.0
2020-05-28,7.0
2020-05-29,4.0
2020-05-30,19.0
2020-05-31,29.0
2020-06-01,13.0
2020-06-02,9.0
2020-06-03,14.0
2020-06-04,50.0
2020-06-05,6.0
2020-06-06,8.0
2020-06-07,11.0
2020-06-08,19.0
2020-06-09,18.0
2020-06-10,20.0
2020-06-11,14.0
2020-06-12,20.0
2020-06-13,20.0
2020-06-14,4.0
2020-06-15,18.0
2020-06-16,9.0
2020-06-17,16.0
2020-06-18,6.0
2020-06-19,15.0
2020-06-20,26.0
2020-06-21,51.0
2020-06-22,16.0
2020-06-23,19.0
2020-06-24,22.0
2020-06-25,18.0
2020-06-26,35.0
2020-06-27,22.0
2020-06-28,21.0
2020-06-29,5.0
2020-06-30,33.0
2020-07-01,10.0
2020-07-02,8.0
2020-07-03,34.0
2020-07-04,25.0
2020-07-05,18.0
2020-07-06,12.0
2020-07-07,22.0
2020-07-08,39.0
2020-07-09,65.0
2020-07-10,71.0
2020-07-11,86.0
2020-07-12,166.0
2020-07-13,85.0
2020-07-14,32.0
2020-07-15,91.0
2020-07-16,57.0
2020-07-17,101.0
2020-07-18,75.0
2020-07-19,84.0
2020-07-20,46.0
2020-07-21,75.0
2020-07-22,124.0
2020-07-23,156.0
2020-07-24,147.0
2020-07-25,175.0
2020-07-26,168.0
2020-07-27,132.0
2020-07-28,141.0
2020-07-29,182.0
2020-07-30,129.0
2020-07-31,221.0
2020-08-01,175.0
2020-08-02,155.0
2020-08-03,177.0
2020-08-04,0.0
2020-08-05,355.0
2020-08-06,255.0
2020-08-07,279.0
2020-08-08,272.0
