date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,1
2020-03-17,1
2020-03-18,2
2020-03-19,2
2020-03-20,2
2020-03-21,3
2020-03-22,3
2020-03-23,3
2020-03-24,3
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,3
2020-03-29,3
2020-03-30,3
2020-03-31,3
2020-04-01,6
2020-04-02,6
2020-04-03,7
2020-04-04,10
2020-04-05,13
2020-04-06,14
2020-04-07,14
2020-04-08,31
2020-04-09,31
2020-04-10,37
2020-04-11,48
2020-04-12,50
2020-04-13,59
2020-04-14,59
2020-04-15,59
2020-04-16,59
2020-04-17,76
2020-04-18,76
2020-04-19,91
2020-04-20,99
2020-04-21,101
2020-04-22,101
2020-04-23,101
2020-04-24,117
2020-04-25,120
2020-04-26,124
2020-04-27,124
2020-04-28,141
2020-04-29,141
2020-04-30,141
2020-05-01,152
2020-05-02,154
2020-05-03,158
2020-05-04,166
2020-05-05,170
2020-05-06,178
2020-05-07,189
2020-05-08,199
2020-05-09,199
2020-05-10,199
2020-05-11,211
2020-05-12,211
2020-05-13,213
2020-05-14,215
2020-05-15,219
2020-05-16,223
2020-05-17,226
2020-05-18,229
2020-05-19,233
2020-05-20,238
2020-05-21,240
2020-05-22,249
2020-05-23,255
2020-05-24,265
2020-05-25,265
2020-05-26,266
2020-05-27,266
2020-05-28,269
2020-05-29,273
2020-05-30,280
2020-05-31,288
2020-06-01,296
2020-06-02,311
2020-06-03,316
2020-06-04,321
2020-06-05,334
2020-06-06,345
2020-06-07,359
2020-06-08,370
2020-06-09,383
2020-06-10,397
2020-06-11,410
2020-06-12,421
2020-06-13,446
2020-06-14,458
2020-06-15,498
2020-06-16,509
2020-06-17,516
2020-06-18,542
2020-06-19,581
2020-06-20,601
2020-06-21,626
2020-06-22,650
2020-06-23,652
2020-06-24,662
2020-06-25,681
2020-06-26,684
2020-06-27,729
2020-06-28,768
2020-06-29,770
2020-06-30,780
2020-07-01,804
2020-07-02,819
2020-07-03,833
2020-07-04,869
2020-07-05,874
2020-07-06,891
2020-07-07,917
2020-07-08,926
2020-07-09,957
2020-07-10,963
2020-07-11,998
2020-07-12,1010
2020-07-13,1024
2020-07-14,1024
2020-07-15,1056
2020-07-16,1070
2020-07-17,1085
2020-07-18,1088
2020-07-19,1091
2020-07-20,1107
2020-07-21,1108
2020-07-22,1114
2020-07-23,1117
2020-07-24,1135
2020-07-25,1155
2020-07-26,1162
2020-07-27,1167
2020-07-28,1177
2020-07-29,1179
2020-07-30,1181
2020-07-31,1186
2020-08-01,1189
2020-08-02,1207
2020-08-03,1214
2020-08-04,1216
2020-08-05,1221
2020-08-06,1224
2020-08-07,1230
2020-08-08,1234
2020-08-09,1237
2020-08-10,1240
2020-08-11,1250
2020-08-12,1252
2020-08-13,1252
2020-08-14,1252
2020-08-15,1257
2020-08-16,1257
2020-08-17,1277
2020-08-18,1282
2020-08-19,1282
2020-08-20,1284
2020-08-21,1285
2020-08-22,1286
2020-08-23,1286
2020-08-24,1290
2020-08-25,1295
2020-08-26,1298
2020-08-27,1298
2020-08-28,1298
2020-08-29,1304
2020-08-30,1304
2020-08-31,1304
2020-09-01,1305
2020-09-02,1305
2020-09-03,1306
2020-09-04,1306
2020-09-05,1306
2020-09-06,1307
2020-09-07,1311
2020-09-08,1311
2020-09-09,1313
2020-09-10,1315
2020-09-11,1315
2020-09-12,1316
2020-09-13,1319
2020-09-14,1321
2020-09-15,1327
2020-09-16,1332
2020-09-17,1333
2020-09-18,1334
2020-09-19,1335
2020-09-20,1335
2020-09-21,1336
2020-09-22,1336
2020-09-23,1337
2020-09-24,1338
2020-09-25,1338
2020-09-26,1338
2020-09-27,1339
2020-09-28,1342
2020-09-29,1343
2020-09-30,1343
2020-10-01,1343
2020-10-02,1346
2020-10-03,1347
2020-10-04,1348
2020-10-05,1354
2020-10-06,1354
2020-10-07,1355
2020-10-08,1360
2020-10-09,1360
2020-10-10,1363
2020-10-11,1363
2020-10-12,1371
