date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-09,1
2020-04-10,1
2020-04-11,1
2020-04-12,1
2020-04-13,1
2020-04-14,1
2020-04-15,1
2020-04-16,1
2020-04-17,1
2020-04-18,1
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-22,1
2020-04-23,2
2020-04-24,2
2020-04-25,2
2020-04-26,2
2020-04-27,2
2020-04-28,2
2020-04-29,2
2020-04-30,3
2020-05-01,3
2020-05-02,3
2020-05-03,3
2020-05-04,3
2020-05-05,3
2020-05-06,3
2020-05-07,3
2020-05-08,3
2020-05-09,3
2020-05-10,3
2020-05-11,3
2020-05-12,3
2020-05-13,3
2020-05-14,3
2020-05-15,3
2020-05-16,3
2020-05-17,3
2020-05-18,3
2020-05-19,3
2020-05-20,3
2020-05-21,3
2020-05-22,3
2020-05-23,3
2020-05-24,3
2020-05-25,3
2020-05-26,3
2020-05-27,4
2020-05-28,5
2020-05-29,5
2020-05-30,5
2020-05-31,5
2020-06-01,5
2020-06-02,5
2020-06-03,5
2020-06-04,5
2020-06-05,5
2020-06-06,5
2020-06-07,5
2020-06-08,5
2020-06-09,5
2020-06-10,5
2020-06-11,5
2020-06-12,6
2020-06-13,8
2020-06-14,10
2020-06-15,10
2020-06-16,10
2020-06-17,10
2020-06-18,10
2020-06-19,10
2020-06-20,10
2020-06-21,10
2020-06-22,10
2020-06-23,17
2020-06-24,18
2020-06-25,18
2020-06-26,18
2020-06-27,18
2020-06-28,21
2020-06-29,23
2020-06-30,24
2020-07-01,25
2020-07-02,26
2020-07-03,27
2020-07-04,27
2020-07-05,32
2020-07-06,34
2020-07-07,35
2020-07-08,36
2020-07-09,38
2020-07-10,38
2020-07-11,38
2020-07-12,39
2020-07-13,40
2020-07-14,42
2020-07-15,43
2020-07-16,46
2020-07-17,47
2020-07-18,48
2020-07-19,48
2020-07-20,49
2020-07-21,50
2020-07-22,53
2020-07-23,56
2020-07-24,57
2020-07-25,58
2020-07-26,60
2020-07-27,64
2020-07-28,67
2020-07-29,76
2020-07-30,73
2020-07-31,74
2020-08-01,80
2020-08-02,83
2020-08-03,93
2020-08-04,96
2020-08-05,99
2020-08-06,107
2020-08-07,108
2020-08-08,113
2020-08-09,119
2020-08-10,125
2020-08-11,132
2020-08-12,132
2020-08-13,135
2020-08-14,139
2020-08-15,145
2020-08-16,153
2020-08-17,157
2020-08-18,164
2020-08-19,169
2020-08-20,173
2020-08-21,180
2020-08-22,188
2020-08-23,188
2020-08-24,199
2020-08-25,203
2020-08-26,210
2020-08-27,219
2020-08-28,226
2020-08-29,231
2020-08-30,232
2020-08-31,237
2020-09-01,242
2020-09-02,250
2020-09-03,254
2020-09-04,262
2020-09-05,272
2020-09-06,285
2020-09-07,296
2020-09-08,314
2020-09-09,324
2020-09-10,339
2020-09-11,352
2020-09-12,354
2020-09-13,362
2020-09-14,368
2020-09-15,383
2020-09-16,394
2020-09-17,409
2020-09-18,418
2020-09-19,436
2020-09-20,444
2020-09-21,450
2020-09-22,460
2020-09-23,469
2020-09-24,474
2020-09-25,491
2020-09-26,499
2020-09-27,520
2020-09-28,527
2020-09-29,540
2020-09-30,551
2020-10-01,559
2020-10-02,570
2020-10-03,578
2020-10-04,592
2020-10-05,596
2020-10-06,602
2020-10-07,608
2020-10-08,616
2020-10-09,621
2020-10-10,623
2020-10-11,631
2020-10-12,644
