date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,2
2020-03-07,2
2020-03-08,3
2020-03-09,3
2020-03-10,5
2020-03-11,7
2020-03-12,19
2020-03-13,34
2020-03-14,51
2020-03-15,59
2020-03-16,77
2020-03-17,140
2020-03-18,203
2020-03-19,335
2020-03-20,484
2020-03-21,670
2020-03-22,798
2020-03-23,875
2020-03-24,1099
2020-03-25,1333
2020-03-26,1453
2020-03-27,1605
2020-03-28,1831
2020-03-29,1950
2020-03-30,1988
2020-03-31,2178
2020-04-01,2319
2020-04-02,2487
2020-04-03,2612
2020-04-04,2729
2020-04-05,2804
2020-04-06,2843
2020-04-07,2970
2020-04-08,3034
2020-04-09,3115
2020-04-10,3223
2020-04-11,3270
2020-04-12,3281
2020-04-13,3292
2020-04-14,3307
2020-04-15,3373
2020-04-16,3444
2020-04-17,3480
2020-04-18,3537
2020-04-19,3550
2020-04-20,3558
2020-04-21,3618
2020-04-22,3654
2020-04-23,3665
2020-04-24,3695
2020-04-25,3711
2020-04-26,3723
2020-04-27,3729
2020-04-28,3741
2020-04-29,3769
2020-04-30,3784
2020-05-01,3802
2020-05-02,3812
2020-05-03,3824
2020-05-04,3828
2020-05-05,3840
2020-05-06,3851
2020-05-07,3859
2020-05-08,3871
2020-05-09,3877
2020-05-10,3886
2020-05-11,3888
2020-05-12,3894
2020-05-13,3904
2020-05-14,3915
2020-05-15,3923
2020-05-16,3930
2020-05-17,3945
2020-05-18,3947
2020-05-19,3958
2020-05-20,3971
2020-05-21,3980
2020-05-22,3981
2020-05-23,3990
2020-05-24,3992
2020-05-25,3993
2020-05-26,3995
2020-05-27,4001
2020-05-28,4008
2020-05-29,4012
2020-05-30,4016
2020-05-31,4018
2020-06-01,4019
2020-06-02,4020
2020-06-03,4024
2020-06-04,4027
2020-06-05,4032
2020-06-06,4035
2020-06-07,4039
2020-06-08,4040
2020-06-09,4046
2020-06-10,4049
2020-06-11,4052
2020-06-12,4055
2020-06-13,4063
2020-06-14,4070
2020-06-15,4072
2020-06-16,4075
2020-06-17,4085
2020-06-18,4091
2020-06-19,4099
2020-06-20,4105
2020-06-21,4120
2020-06-22,4121
2020-06-23,4133
2020-06-24,4140
2020-06-25,4151
2020-06-26,4173
2020-06-27,4217
2020-06-28,4242
2020-06-29,4256
2020-06-30,4299
2020-07-01,4345
2020-07-02,4395
2020-07-03,4447
2020-07-04,4476
2020-07-05,4522
2020-07-06,4542
2020-07-07,4603
2020-07-08,4650
2020-07-09,4719
2020-07-10,4777
2020-07-11,4842
2020-07-12,4925
2020-07-13,4956
2020-07-14,5056
2020-07-15,5122
2020-07-16,5285
2020-07-17,5409
2020-07-18,5483
2020-07-19,5605
2020-07-20,5639
2020-07-21,5725
2020-07-22,5854
2020-07-23,5952
2020-07-24,6056
2020-07-25,6189
2020-07-26,6272
2020-07-27,6321
2020-07-28,6375
2020-07-29,6533
2020-07-30,6616
2020-07-31,6695
2020-08-01,6793
2020-08-02,6855
2020-08-03,6864
2020-08-04,6917
2020-08-05,7007
2020-08-06,7073
2020-08-07,7113
2020-08-08,7169
2020-08-09,7205
2020-08-10,7216
2020-08-11,7242
2020-08-12,7300
2020-08-13,7368
2020-08-14,7405
2020-08-15,7439
2020-08-16,7458
2020-08-17,7469
2020-08-18,7499
2020-08-19,7566
2020-08-20,7637
2020-08-21,7704
2020-08-22,7762
2020-08-23,7775
2020-08-24,7794
2020-08-25,7838
2020-08-26,7928
2020-08-27,7928
2020-08-28,6580
2020-08-29,6625
2020-08-30,6625
2020-08-31,6625
2020-09-01,6625
2020-09-02,6745
2020-09-03,6811
2020-09-04,6854
2020-09-05,6896
2020-09-06,6950
2020-09-07,6960
2020-09-08,6974
2020-09-09,7023
2020-09-10,7088
2020-09-11,7088
2020-09-12,7159
2020-09-13,7159
2020-09-14,7244
2020-09-15,7284
2020-09-16,7394
2020-09-17,7541
2020-09-18,7718
2020-09-19,7718
2020-09-20,7718
2020-09-21,7916
2020-09-22,8016
2020-09-23,8090
2020-09-24,8158
2020-09-25,8233
2020-09-26,8233
2020-09-27,8233
2020-09-28,8376
2020-09-29,8431
2020-09-30,8509
2020-10-01,8595
2020-10-02,8709
2020-10-03,8709
2020-10-04,8709
2020-10-05,8925
2020-10-06,8979
2020-10-07,9119
2020-10-08,9119
2020-10-09,9119
2020-10-10,9119
2020-10-11,9119
2020-10-12,9119
