date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,1
2020-04-08,1
2020-04-09,1
2020-04-10,1
2020-04-11,2
2020-04-12,2
2020-04-13,2
2020-04-14,2
2020-04-15,2
2020-04-16,2
2020-04-17,2
2020-04-18,2
2020-04-19,2
2020-04-20,2
2020-04-21,2
2020-04-22,3
2020-04-23,3
2020-04-24,3
2020-04-25,3
2020-04-26,3
2020-04-27,3
2020-04-28,3
2020-04-29,3
2020-04-30,3
2020-05-01,3
2020-05-02,3
2020-05-03,3
2020-05-04,3
2020-05-05,3
2020-05-06,3
2020-05-07,3
2020-05-08,3
2020-05-09,3
2020-05-10,3
2020-05-11,3
2020-05-12,3
2020-05-13,3
2020-05-14,3
2020-05-15,3
2020-05-16,3
2020-05-17,3
2020-05-18,3
2020-05-19,3
2020-05-20,3
2020-05-21,3
2020-05-22,3
2020-05-23,3
2020-05-24,4
2020-05-25,4
2020-05-26,4
2020-05-27,4
2020-05-28,4
2020-05-29,4
2020-05-30,4
2020-05-31,4
2020-06-01,4
2020-06-02,4
2020-06-03,4
2020-06-04,4
2020-06-05,4
2020-06-06,4
2020-06-07,4
2020-06-08,4
2020-06-09,4
2020-06-10,4
2020-06-11,4
2020-06-12,4
2020-06-13,5
2020-06-14,6
2020-06-15,6
2020-06-16,6
2020-06-17,6
2020-06-18,8
2020-06-19,8
2020-06-20,8
2020-06-21,11
2020-06-22,11
2020-06-23,11
2020-06-24,11
2020-06-25,12
2020-06-26,13
2020-06-27,13
2020-06-28,13
2020-06-29,13
2020-06-30,14
2020-07-01,16
2020-07-02,16
2020-07-03,16
2020-07-04,17
2020-07-05,17
2020-07-06,19
2020-07-07,19
2020-07-08,24
2020-07-09,25
2020-07-10,31
2020-07-11,33
2020-07-12,38
2020-07-13,39
2020-07-14,40
2020-07-15,43
2020-07-16,51
2020-07-17,55
2020-07-18,55
2020-07-19,59
2020-07-20,62
2020-07-21,64
2020-07-22,76
2020-07-23,76
2020-07-24,87
2020-07-25,87
2020-07-26,99
2020-07-27,99
2020-07-28,103
2020-07-29,103
2020-07-30,107
2020-07-31,114
2020-08-01,120
2020-08-02,123
2020-08-03,123
2020-08-04,128
2020-08-05,136
2020-08-06,137
2020-08-07,137
2020-08-08,143
2020-08-09,146
2020-08-10,146
2020-08-11,152
2020-08-12,152
2020-08-13,153
2020-08-14,156
2020-08-15,157
2020-08-16,161
2020-08-17,162
2020-08-18,163
2020-08-19,164
2020-08-20,165
2020-08-21,166
2020-08-22,168
2020-08-23,168
2020-08-24,169
2020-08-25,170
2020-08-26,173
2020-08-27,173
2020-08-28,174
2020-08-29,174
2020-08-30,174
2020-08-31,175
2020-09-01,175
2020-09-02,175
2020-09-03,175
2020-09-04,175
2020-09-05,175
2020-09-06,175
2020-09-07,176
2020-09-08,176
2020-09-09,176
2020-09-10,176
2020-09-11,177
2020-09-12,177
2020-09-13,177
2020-09-14,178
2020-09-15,178
2020-09-16,178
2020-09-17,179
2020-09-18,179
2020-09-19,179
2020-09-20,179
2020-09-21,179
2020-09-22,179
2020-09-23,179
2020-09-24,179
2020-09-25,179
2020-09-26,179
2020-09-27,179
2020-09-28,179
2020-09-29,179
2020-09-30,179
2020-10-01,179
2020-10-02,179
2020-10-03,179
2020-10-04,179
2020-10-05,180
2020-10-06,180
2020-10-07,180
2020-10-08,180
2020-10-09,180
2020-10-10,180
2020-10-11,180
2020-10-12,180
