date,current
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,3
2020-01-26,4
2020-01-27,4
2020-01-28,4
2020-01-29,7
2020-01-30,8
2020-01-31,8
2020-02-01,8
2020-02-02,8
2020-02-03,8
2020-02-04,10
2020-02-05,12
2020-02-06,12
2020-02-07,11
2020-02-08,15
2020-02-09,15
2020-02-10,17
2020-02-11,15
2020-02-12,15
2020-02-13,16
2020-02-14,16
2020-02-15,15
2020-02-16,15
2020-02-17,15
2020-02-18,9
2020-02-19,7
2020-02-20,7
2020-02-21,7
2020-02-22,7
2020-02-23,7
2020-02-24,4
2020-02-25,4
2020-02-26,4
2020-02-27,5
2020-02-28,5
2020-02-29,7
2020-03-01,11
2020-03-02,11
2020-03-03,14
2020-03-04,28
2020-03-05,28
2020-03-06,61
2020-03-07,70
2020-03-08,75
2020-03-09,93
2020-03-10,105
2020-03-11,123
2020-03-12,123
2020-03-13,171
2020-03-14,203
2020-03-15,386
2020-03-16,524
2020-03-17,622
2020-03-18,728
2020-03-19,823
2020-03-20,940
