date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,3.0
2020-01-26,1.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,3.0
2020-01-30,1.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,2.0
2020-02-05,2.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,4.0
2020-02-09,0.0
2020-02-10,2.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,1.0
2020-02-14,0.0
2020-02-15,3.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,1.0
2020-02-28,0.0
2020-02-29,2.0
2020-03-01,4.0
2020-03-02,0.0
2020-03-03,7.0
2020-03-04,14.0
2020-03-05,0.0
2020-03-06,33.0
2020-03-07,10.0
2020-03-08,6.0
2020-03-09,18.0
2020-03-10,12.0
2020-03-11,20.0
2020-03-12,0.0
2020-03-13,48.0
2020-03-14,41.0
2020-03-15,190.0
2020-03-16,138.0
2020-03-17,107.0
2020-03-18,117.0
2020-03-19,110.0
2020-03-20,130.0
2020-03-21,153.0
2020-03-22,123.0
2020-03-23,212.0
2020-03-24,106.0
2020-03-25,172.0
2020-03-26,235.0
2020-03-27,130.0
2020-03-28,159.0
2020-03-29,150.0
2020-03-30,156.0
2020-03-31,140.0
2020-04-01,142.0
2020-04-02,208.0
2020-04-03,217.0
2020-04-04,150.0
2020-04-05,179.0
2020-04-06,131.0
2020-04-07,170.0
2020-04-08,156.0
2020-04-09,109.0
2020-04-10,118.0
2020-04-11,184.0
2020-04-12,153.0
2020-04-13,134.0
2020-04-14,170.0
2020-04-15,85.0
2020-04-16,110.0
2020-04-17,69.0
2020-04-18,54.0
2020-04-19,84.0
2020-04-20,36.0
2020-04-21,57.0
2020-04-22,50.0
2020-04-23,71.0
2020-04-24,88.0
2020-04-25,51.0
2020-04-26,38.0
2020-04-27,40.0
2020-04-28,31.0
2020-04-29,94.0
2020-04-30,57.0
2020-05-01,69.0
2020-05-02,105.0
2020-05-03,122.0
2020-05-04,55.0
2020-05-05,30.0
2020-05-06,45.0
2020-05-07,39.0
2020-05-08,68.0
2020-05-09,54.0
2020-05-10,67.0
2020-05-11,70.0
2020-05-12,16.0
2020-05-13,37.0
2020-05-14,40.0
2020-05-15,36.0
2020-05-16,17.0
2020-05-17,22.0
2020-05-18,47.0
2020-05-19,37.0
2020-05-20,31.0
2020-05-21,50.0
2020-05-22,78.0
2020-05-23,48.0
2020-05-24,60.0
2020-05-25,172.0
2020-05-26,187.0
2020-05-27,15.0
2020-05-28,10.0
2020-05-29,103.0
2020-05-30,30.0
