date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,4
2020-03-01,5
2020-03-02,5
2020-03-03,5
2020-03-04,5
2020-03-05,5
2020-03-06,6
2020-03-07,6
2020-03-08,7
2020-03-09,7
2020-03-10,7
2020-03-11,8
2020-03-12,12
2020-03-13,26
2020-03-14,41
2020-03-15,53
2020-03-16,82
2020-03-17,93
2020-03-18,118
2020-03-19,164
2020-03-20,203
2020-03-21,251
2020-03-22,316
2020-03-23,367
2020-03-24,405
2020-03-25,475
2020-03-26,585
2020-03-27,717
2020-03-28,848
2020-03-29,993
2020-03-30,1094
2020-03-31,1215
2020-04-01,1378
2020-04-02,1510
2020-04-03,1688
2020-04-04,1890
2020-04-05,2143
2020-04-06,2439
2020-04-07,2785
2020-04-08,3181
2020-04-09,3441
2020-04-10,3844
2020-04-11,4219
2020-04-12,4661
2020-04-13,5014
2020-04-14,5399
2020-04-15,5847
2020-04-16,6297
2020-04-17,6875
2020-04-18,7497
2020-04-19,8261
2020-04-20,8772
2020-04-21,9501
2020-04-22,10544
2020-04-23,11633
2020-04-24,12872
2020-04-25,13842
2020-04-26,14677
2020-04-27,15529
2020-04-28,16752
2020-04-29,17799
2020-04-30,19224
2020-05-01,20739
2020-05-02,22088
2020-05-03,23471
2020-05-04,24905
2020-05-05,26025
2020-05-06,27634
2020-05-07,29616
2020-05-08,31522
2020-05-09,33460
2020-05-10,35022
2020-05-11,36327
