date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,2
2020-03-06,2
2020-03-07,2
2020-03-08,2
2020-03-09,2
2020-03-10,3
2020-03-11,5
2020-03-12,6
2020-03-13,7
2020-03-14,17
2020-03-15,28
2020-03-16,29
2020-03-17,38
2020-03-18,49
2020-03-19,63
2020-03-20,77
2020-03-21,96
2020-03-22,115
2020-03-23,143
2020-03-24,170
2020-03-25,225
2020-03-26,275
2020-03-27,345
2020-03-28,402
2020-03-29,479
2020-03-30,556
2020-03-31,617
2020-04-01,654
2020-04-02,708
2020-04-03,791
2020-04-04,919
2020-04-05,1021
2020-04-06,1120
2020-04-07,1184
2020-04-08,1275
2020-04-09,1374
2020-04-10,1448
2020-04-11,1545
2020-04-12,1661
2020-04-13,1763
2020-04-14,1888
2020-04-15,2024
2020-04-16,2283
2020-04-17,2564
2020-04-18,2685
2020-04-19,2855
2020-04-20,3046
2020-04-21,3209
2020-04-22,3446
2020-04-23,3568
2020-04-24,3758
2020-04-25,3897
2020-04-26,4065
2020-04-27,4120
2020-04-28,4252
2020-04-29,4321
2020-04-30,4423
2020-05-01,4569
2020-05-02,4729
2020-05-03,4903
2020-05-04,5053
2020-05-05,5219
2020-05-06,5408
2020-05-07,5548
2020-05-08,5711
2020-05-09,5910
2020-05-10,6063
2020-05-11,6281
