date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,1
2020-07-11,1
2020-07-12,1
2020-07-13,1
2020-07-14,2
2020-07-15,2
2020-07-16,2
2020-07-17,2
2020-07-18,2
2020-07-19,3
2020-07-20,4
2020-07-21,7
2020-07-22,7
2020-07-23,7
2020-07-24,7
2020-07-25,7
2020-07-26,8
2020-07-27,8
2020-07-28,8
2020-07-29,9
2020-07-30,10
2020-07-31,10
2020-08-01,11
2020-08-02,11
2020-08-03,12
2020-08-04,12
2020-08-05,12
2020-08-06,15
2020-08-07,16
2020-08-08,16
2020-08-09,19
2020-08-10,19
2020-08-11,19
2020-08-12,22
2020-08-13,27
2020-08-14,31
2020-08-15,35
2020-08-16,35
2020-08-17,36
2020-08-18,37
2020-08-19,39
2020-08-20,41
2020-08-21,42
2020-08-22,46
2020-08-23,52
2020-08-24,56
2020-08-25,57
2020-08-26,59
2020-08-27,60
2020-08-28,65
2020-08-29,69
2020-08-30,72
2020-08-31,75
2020-09-01,81
2020-09-02,82
2020-09-03,86
2020-09-04,87
2020-09-05,87
2020-09-06,89
2020-09-07,91
2020-09-08,91
2020-09-09,93
2020-09-10,96
2020-09-11,98
2020-09-12,98
2020-09-13,101
2020-09-14,103
2020-09-15,106
2020-09-16,108
2020-09-17,108
2020-09-18,108
2020-09-19,111
2020-09-20,112
2020-09-21,113
2020-09-22,116
2020-09-23,117
2020-09-24,119
2020-09-25,119
2020-09-26,120
2020-09-27,120
2020-09-28,121
2020-09-29,121
2020-09-30,121
2020-10-01,123
2020-10-02,123
2020-10-03,123
2020-10-04,123
2020-10-05,125
2020-10-06,125
2020-10-07,126
2020-10-08,127
2020-10-09,127
2020-10-10,128
2020-10-11,128
2020-10-12,129
