date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,3
2020-03-05,3
2020-03-06,4
2020-03-07,5
2020-03-08,5
2020-03-09,5
2020-03-10,5
2020-03-11,5
2020-03-12,5
2020-03-13,5
2020-03-14,6
2020-03-15,8
2020-03-16,8
2020-03-17,12
2020-03-18,20
2020-03-19,28
2020-03-20,39
2020-03-21,52
2020-03-22,102
2020-03-23,102
2020-03-24,155
2020-03-25,205
2020-03-26,283
2020-03-27,368
2020-03-28,451
2020-03-29,514
2020-03-30,589
2020-03-31,647
2020-04-01,708
2020-04-02,797
2020-04-03,868
2020-04-04,950
2020-04-05,1039
2020-04-06,1106
2020-04-07,1160
2020-04-08,1210
2020-04-09,1239
2020-04-10,1283
2020-04-11,1312
2020-04-12,1330
2020-04-13,1349
2020-04-14,1366
2020-04-15,1386
2020-04-16,1401
2020-04-17,1409
2020-04-18,1422
2020-04-19,1431
2020-04-20,1440
2020-04-21,1445
2020-04-22,1451
2020-04-23,1456
2020-04-24,1461
2020-04-25,1470
2020-04-26,1469
2020-04-27,1472
2020-04-28,1474
2020-04-29,1476
2020-04-30,1479
2020-05-01,1485
2020-05-02,1487
2020-05-03,1487
2020-05-04,1486
2020-05-05,1488
2020-05-06,1489
2020-05-07,1490
2020-05-08,1492
2020-05-09,1494
2020-05-10,1497
2020-05-11,1497
2020-05-12,1497
2020-05-13,1497
2020-05-14,1498
2020-05-15,1498
2020-05-16,1499
2020-05-17,1499
2020-05-18,1499
2020-05-19,1503
2020-05-20,1503
2020-05-21,1504
2020-05-22,1504
2020-05-23,1504
2020-05-24,1504
2020-05-25,1504
2020-05-26,1504
2020-05-27,1504
2020-05-28,1504
2020-05-29,1504
2020-05-30,1504
2020-05-31,1504
2020-06-01,1504
2020-06-02,1504
2020-06-03,1504
2020-06-04,1504
2020-06-05,1504
2020-06-06,1504
2020-06-07,1504
2020-06-08,1504
2020-06-09,1504
2020-06-10,1504
2020-06-11,1504
2020-06-12,1504
2020-06-13,1504
2020-06-14,1504
2020-06-15,1506
2020-06-16,1506
2020-06-17,1507
2020-06-18,1507
2020-06-19,1509
2020-06-20,1511
2020-06-21,1513
2020-06-22,1515
2020-06-23,1516
2020-06-24,1519
2020-06-25,1520
2020-06-26,1522
2020-06-27,1526
2020-06-28,1528
2020-06-29,1528
2020-06-30,1528
2020-07-01,1530
2020-07-02,1530
2020-07-03,1530
2020-07-04,1533
2020-07-05,1534
2020-07-06,1536
2020-07-07,1537
2020-07-08,1540
2020-07-09,1542
2020-07-10,1543
2020-07-11,1544
2020-07-12,1544
2020-07-13,1545
2020-07-14,1547
2020-07-15,1548
2020-07-16,1549
2020-07-17,1550
2020-07-18,1553
2020-07-19,1554
2020-07-20,1555
2020-07-21,1555
2020-07-22,1555
2020-07-23,1556
2020-07-24,1556
2020-07-25,1556
2020-07-26,1556
2020-07-27,1557
2020-07-28,1559
2020-07-29,1560
2020-07-30,1560
2020-07-31,1562
2020-08-01,1565
2020-08-02,1567
2020-08-03,1567
2020-08-04,1569
2020-08-05,1569
2020-08-06,1569
2020-08-07,1569
2020-08-08,1569
2020-08-09,1569
