date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1
2020-03-20,1
2020-03-21,2
2020-03-22,2
2020-03-23,2
2020-03-24,2
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-28,4
2020-03-29,4
2020-03-30,4
2020-03-31,5
2020-04-01,5
2020-04-02,5
2020-04-03,5
2020-04-04,5
2020-04-05,6
2020-04-06,6
2020-04-07,6
2020-04-08,6
2020-04-09,7
2020-04-10,7
2020-04-11,8
2020-04-12,9
2020-04-13,9
2020-04-14,9
2020-04-15,9
2020-04-16,9
2020-04-17,9
2020-04-18,9
2020-04-19,10
2020-04-20,10
2020-04-21,10
2020-04-22,10
2020-04-23,11
2020-04-24,11
2020-04-25,12
2020-04-26,13
2020-04-27,13
2020-04-28,13
2020-04-29,13
2020-04-30,14
2020-05-01,14
2020-05-02,14
2020-05-03,15
2020-05-04,15
2020-05-05,16
2020-05-06,16
2020-05-07,16
2020-05-08,16
2020-05-09,16
2020-05-10,16
2020-05-11,16
2020-05-12,25
2020-05-13,25
2020-05-14,25
2020-05-15,25
2020-05-16,25
2020-05-17,25
2020-05-18,25
2020-05-19,254
2020-05-20,254
2020-05-21,279
2020-05-22,279
2020-05-23,279
2020-05-24,279
2020-05-25,279
2020-05-26,759
2020-05-27,759
2020-05-28,759
2020-05-29,759
2020-05-30,759
2020-05-31,759
2020-06-01,759
2020-06-02,1118
2020-06-03,1118
2020-06-04,1118
2020-06-05,1118
2020-06-06,1118
2020-06-07,1118
2020-06-08,1118
2020-06-09,1464
2020-06-10,1464
2020-06-11,1464
2020-06-12,1464
2020-06-13,1464
2020-06-14,1464
2020-06-15,1464
2020-06-16,1823
2020-06-17,1823
2020-06-18,1823
2020-06-19,1823
2020-06-20,1823
2020-06-21,1823
2020-06-22,1823
2020-06-23,2170
2020-06-24,2170
2020-06-25,2170
2020-06-26,2170
2020-06-27,2170
2020-06-28,2170
2020-06-29,2170
2020-06-30,2519
2020-07-01,2519
2020-07-02,2519
2020-07-03,2519
2020-07-04,2519
2020-07-05,2519
2020-07-06,2519
2020-07-07,2846
2020-07-08,2846
2020-07-09,2846
2020-07-10,2846
2020-07-11,2846
2020-07-12,2846
2020-07-13,2846
2020-07-14,3147
2020-07-15,3147
2020-07-16,3147
2020-07-17,3147
2020-07-18,3147
2020-07-19,3147
2020-07-20,3147
2020-07-21,3439
2020-07-22,3439
2020-07-23,3439
2020-07-24,3439
2020-07-25,3439
2020-07-26,3439
2020-07-27,3439
2020-07-28,3672
2020-07-29,3672
2020-07-30,3672
2020-07-31,3672
2020-08-01,3672
2020-08-02,3672
2020-08-03,3672
2020-08-04,3902
2020-08-05,3902
2020-08-06,3902
2020-08-07,3902
2020-08-08,3902
2020-08-09,3902
2020-08-10,3902
2020-08-11,4115
2020-08-12,4115
2020-08-13,4115
2020-08-14,4115
2020-08-15,4115
2020-08-16,4115
2020-08-17,4115
2020-08-18,4311
2020-08-19,4311
2020-08-20,4311
2020-08-21,4311
2020-08-22,4311
2020-08-23,4311
2020-08-24,4311
2020-08-25,4494
2020-08-26,4494
2020-08-27,4494
2020-08-28,4494
2020-08-29,4494
2020-08-30,4494
2020-08-31,4494
2020-09-01,4668
2020-09-02,4668
2020-09-03,4668
2020-09-04,4668
2020-09-05,4668
2020-09-06,4668
2020-09-07,4668
2020-09-08,4818
2020-09-09,4818
2020-09-10,4818
2020-09-11,4818
2020-09-12,4818
2020-09-13,4818
2020-09-14,4818
2020-09-15,4961
2020-09-16,4961
2020-09-17,4961
2020-09-18,4961
2020-09-19,4961
2020-09-20,4961
2020-09-21,4961
2020-09-22,5073
2020-09-23,5073
2020-09-24,5073
2020-09-25,5073
2020-09-26,5073
2020-09-27,5073
2020-09-28,5073
2020-09-29,5170
2020-09-30,5170
2020-10-01,5170
2020-10-02,5170
2020-10-03,5170
2020-10-04,5170
2020-10-05,5170
2020-10-06,5264
2020-10-07,5264
2020-10-08,5264
2020-10-09,5264
2020-10-10,5264
2020-10-11,5264
2020-10-12,5264
