date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-09,1
2020-04-10,1
2020-04-11,1
2020-04-12,1
2020-04-13,1
2020-04-14,1
2020-04-15,1
2020-04-16,1
2020-04-17,1
2020-04-18,2
2020-04-19,2
2020-04-20,2
2020-04-21,2
2020-04-22,2
2020-04-23,3
2020-04-24,3
2020-04-25,3
2020-04-26,3
2020-04-27,3
2020-04-28,3
2020-04-29,3
2020-04-30,3
2020-05-01,3
2020-05-02,3
2020-05-03,5
2020-05-04,5
2020-05-05,5
2020-05-06,5
2020-05-07,5
2020-05-08,5
2020-05-09,5
2020-05-10,5
2020-05-11,5
2020-05-12,8
2020-05-13,8
2020-05-14,8
2020-05-15,8
2020-05-16,8
2020-05-17,8
2020-05-18,8
2020-05-19,17
2020-05-20,17
2020-05-21,17
2020-05-22,17
2020-05-23,17
2020-05-24,17
2020-05-25,17
2020-05-26,35
2020-05-27,35
2020-05-28,35
2020-05-29,35
2020-05-30,35
2020-05-31,35
2020-06-01,35
2020-06-02,46
2020-06-03,46
2020-06-04,46
2020-06-05,46
2020-06-06,46
2020-06-07,46
2020-06-08,46
2020-06-09,55
2020-06-10,55
2020-06-11,55
2020-06-12,55
2020-06-13,55
2020-06-14,55
2020-06-15,55
2020-06-16,64
2020-06-17,64
2020-06-18,64
2020-06-19,64
2020-06-20,64
2020-06-21,64
2020-06-22,64
2020-06-23,74
2020-06-24,74
2020-06-25,74
2020-06-26,74
2020-06-27,74
2020-06-28,74
2020-06-29,74
2020-06-30,83
2020-07-01,83
2020-07-02,83
2020-07-03,83
2020-07-04,83
2020-07-05,83
2020-07-06,83
2020-07-07,91
2020-07-08,91
2020-07-09,91
2020-07-10,91
2020-07-11,91
2020-07-12,91
2020-07-13,91
2020-07-14,99
2020-07-15,99
2020-07-16,99
2020-07-17,99
2020-07-18,99
2020-07-19,99
2020-07-20,99
2020-07-21,108
2020-07-22,108
2020-07-23,108
2020-07-24,108
2020-07-25,108
2020-07-26,108
2020-07-27,108
2020-07-28,116
2020-07-29,116
2020-07-30,116
2020-07-31,116
2020-08-01,116
2020-08-02,116
2020-08-03,116
2020-08-04,123
2020-08-05,123
2020-08-06,123
2020-08-07,123
2020-08-08,123
2020-08-09,123
2020-08-10,123
2020-08-11,128
2020-08-12,128
2020-08-13,128
2020-08-14,128
2020-08-15,128
2020-08-16,128
2020-08-17,128
2020-08-18,133
2020-08-19,133
2020-08-20,133
2020-08-21,133
2020-08-22,133
2020-08-23,133
2020-08-24,133
2020-08-25,137
2020-08-26,137
2020-08-27,137
2020-08-28,137
2020-08-29,137
2020-08-30,137
2020-08-31,137
2020-09-01,141
2020-09-02,141
2020-09-03,141
2020-09-04,141
2020-09-05,141
2020-09-06,141
2020-09-07,141
2020-09-08,144
2020-09-09,144
2020-09-10,144
2020-09-11,144
2020-09-12,144
2020-09-13,144
2020-09-14,144
2020-09-15,147
2020-09-16,147
2020-09-17,147
2020-09-18,147
2020-09-19,147
2020-09-20,147
2020-09-21,147
2020-09-22,149
2020-09-23,149
2020-09-24,149
2020-09-25,149
2020-09-26,149
2020-09-27,149
2020-09-28,149
2020-09-29,151
2020-09-30,151
2020-10-01,151
2020-10-02,151
2020-10-03,151
2020-10-04,151
2020-10-05,151
2020-10-06,151
2020-10-07,153
2020-10-08,153
2020-10-09,153
2020-10-10,153
2020-10-11,153
2020-10-12,153
