date,current
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,1.0
2020-02-28,6.0
2020-02-29,15.0
2020-03-01,19.0
2020-03-02,25.0
2020-03-03,32.0
2020-03-04,56.0
2020-03-05,87.0
2020-03-06,108.0
2020-03-07,147.0
2020-03-08,176.0
2020-03-09,204.0
2020-03-10,399.0
2020-03-11,597.0
2020-03-12,701.0
2020-03-13,995.0
2020-03-14,1086.0
2020-03-15,1217.0
2020-03-16,1329.0
2020-03-17,1459.0
2020-03-18,1543.0
2020-03-19,1738.0
2020-03-20,1906.0
2020-03-21,2110.0
2020-03-22,2375.0
2020-03-23,2375.0
