date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,0.0
2020-02-28,5.0
2020-02-29,9.0
2020-03-01,4.0
2020-03-02,6.0
2020-03-03,7.0
2020-03-04,24.0
2020-03-05,31.0
2020-03-06,21.0
2020-03-07,39.0
2020-03-08,29.0
2020-03-09,29.0
2020-03-10,195.0
2020-03-11,198.0
2020-03-12,104.0
2020-03-13,294.0
2020-03-14,94.0
2020-03-15,131.0
2020-03-16,112.0
2020-03-17,130.0
2020-03-18,87.0
2020-03-19,196.0
2020-03-20,168.0
2020-03-21,204.0
2020-03-22,267.0
2020-03-23,236.0
2020-03-24,242.0
2020-03-25,221.0
2020-03-26,285.0
2020-03-27,386.0
2020-03-28,260.0
2020-03-29,269.0
2020-03-30,161.0
2020-03-31,196.0
2020-04-01,222.0
2020-04-02,284.0
2020-04-03,223.0
