date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,2
2020-02-25,2
2020-02-26,4
2020-02-27,4
2020-02-28,4
2020-02-29,6
2020-03-01,6
2020-03-02,6
2020-03-03,12
2020-03-04,15
2020-03-05,16
2020-03-06,16
2020-03-07,16
2020-03-08,16
2020-03-09,16
2020-03-10,18
2020-03-11,18
2020-03-12,18
2020-03-13,19
2020-03-14,19
2020-03-15,22
2020-03-16,22
2020-03-17,24
2020-03-18,39
2020-03-19,48
2020-03-20,48
2020-03-21,52
2020-03-22,55
2020-03-23,66
2020-03-24,84
2020-03-25,99
2020-03-26,109
2020-03-27,131
2020-03-28,152
2020-03-29,167
2020-03-30,179
2020-03-31,192
2020-04-01,210
2020-04-02,231
2020-04-03,252
2020-04-04,277
2020-04-05,298
2020-04-06,331
2020-04-07,371
2020-04-08,419
2020-04-09,457
2020-04-10,484
2020-04-11,546
2020-04-12,599
2020-04-13,727
2020-04-14,813
2020-04-15,910
2020-04-16,1019
2020-04-17,1069
2020-04-18,1180
2020-04-19,1266
2020-04-20,1410
2020-04-21,1508
2020-04-22,1614
2020-04-23,1716
2020-04-24,1790
2020-04-25,1905
2020-04-26,1998
2020-04-27,2049
2020-04-28,2131
2020-04-29,2274
2020-04-30,2348
2020-05-01,2447
2020-05-02,2483
2020-05-03,2568
2020-05-04,2637
2020-05-05,2735
2020-05-06,2903
2020-05-07,2958
2020-05-08,3112
2020-05-09,3224
2020-05-10,3399
2020-05-11,3573
2020-05-12,3721
2020-05-13,4019
2020-05-14,4341
2020-05-15,4625
2020-05-16,5029
2020-05-17,5186
2020-05-18,5379
2020-05-19,5671
2020-05-20,6043
2020-05-21,6370
2020-05-22,6794
2020-05-23,7257
2020-05-24,7770
2020-05-25,7770
2020-05-26,8118
2020-05-27,8373
2020-05-28,9009
2020-05-29,9820
2020-05-30,10423
2020-05-31,11437
2020-06-01,12223
2020-06-02,12799
2020-06-03,13537
2020-06-04,14316
2020-06-05,15086
2020-06-06,16016
2020-06-07,16882
2020-06-08,17486
2020-06-09,18198
2020-06-10,18887
2020-06-11,19954
2020-06-12,21071
2020-06-13,22077
2020-06-14,23481
2020-06-15,24524
2020-06-16,25269
2020-06-17,26079
2020-06-18,26818
2020-06-19,27670
2020-06-20,28566
2020-06-21,29471
2020-06-22,31076
2020-06-23,32394
2020-06-24,33536
2020-06-25,34902
2020-06-26,36034
2020-06-27,36953
2020-06-28,38150
2020-06-29,39060
2020-06-30,40070
2020-07-01,41194
2020-07-02,42555
2020-07-03,43929
2020-07-04,45106
2020-07-05,46178
2020-07-06,47735
2020-07-07,48997
2020-07-08,50207
2020-07-09,51725
2020-07-10,53614
2020-07-11,54697
2020-07-12,56015
2020-07-13,58179
2020-07-14,59568
2020-07-15,61247
2020-07-16,62574
2020-07-17,64193
2020-07-18,65504
2020-07-19,66661
2020-07-20,68400
2020-07-21,69887
2020-07-22,71547
2020-07-23,72646
2020-07-24,73791
2020-07-25,74858
2020-07-26,76005
2020-07-27,77058
2020-07-28,77904
2020-07-29,78569
2020-07-30,79159
2020-07-31,79159
2020-08-01,79159
2020-08-02,79159
2020-08-03,79159
2020-08-04,79159
2020-08-05,80286
2020-08-06,80713
2020-08-07,81067
2020-08-08,81357
2020-08-09,81580
2020-08-10,81787
2020-08-11,82050
2020-08-12,82299
2020-08-13,82531
2020-08-14,82743
2020-08-15,82924
2020-08-16,83086
2020-08-17,83226
2020-08-18,83418
2020-08-19,83606
2020-08-20,83769
2020-08-21,83769
2020-08-22,83769
2020-08-23,83769
2020-08-24,84509
2020-08-25,84652
2020-08-26,84818
2020-08-27,85005
2020-08-28,85005
2020-08-29,85005
2020-08-30,85544
2020-08-31,85722
2020-09-01,85928
2020-09-02,85928
2020-09-03,86380
2020-09-04,86380
2020-09-05,86380
2020-09-06,87072
2020-09-07,87328
2020-09-08,87590
2020-09-09,87939
2020-09-10,88337
2020-09-11,88337
2020-09-12,88337
2020-09-13,89746
2020-09-14,90222
2020-09-15,90660
2020-09-16,91196
2020-09-17,91753
2020-09-18,91753
2020-09-19,91753
2020-09-20,93475
2020-09-21,94051
2020-09-22,94711
2020-09-23,95339
2020-09-24,95907
2020-09-25,95907
2020-09-26,95907
2020-09-27,97450
2020-09-28,98057
2020-09-29,98585
2020-09-30,98585
2020-10-01,98585
2020-10-02,98585
2020-10-03,98585
2020-10-04,101270
2020-10-05,101814
2020-10-06,102648
2020-10-07,103465
2020-10-08,104129
2020-10-09,104129
2020-10-10,104129
2020-10-11,105890
2020-10-12,106575
