date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,4
2020-03-01,4
2020-03-02,4
2020-03-03,5
2020-03-04,5
2020-03-05,5
2020-03-06,6
2020-03-07,6
2020-03-08,6
2020-03-09,6
2020-03-10,16
2020-03-11,19
2020-03-12,20
2020-03-13,28
2020-03-14,31
2020-03-15,53
2020-03-16,136
2020-03-17,236
2020-03-18,299
2020-03-19,454
2020-03-20,501
2020-03-21,730
2020-03-22,776
2020-03-23,875
2020-03-24,972
2020-03-25,1063
2020-03-26,1201
2020-03-27,1373
2020-03-28,1495
2020-03-29,1597
2020-03-30,1717
2020-03-31,1938
2020-04-01,2118
2020-04-02,2421
2020-04-03,2686
2020-04-04,2818
2020-04-05,3157
2020-04-06,3766
2020-04-07,4035
2020-04-08,4263
2020-04-09,4489
2020-04-10,4695
2020-04-11,5011
2020-04-12,5230
2020-04-13,5496
2020-04-14,5837
2020-04-15,6383
2020-04-16,6919
2020-04-17,7025
2020-04-18,7638
2020-04-19,8348
2020-04-20,8418
2020-04-21,9565
2020-04-22,10076
2020-04-23,11155
2020-04-24,11940
2020-04-25,12723
2020-04-26,13328
2020-04-27,13915
2020-04-28,14612
2020-04-29,15525
2020-04-30,16817
2020-05-01,18114
2020-05-02,19103
2020-05-03,20084
2020-05-04,20941
2020-05-05,22049
2020-05-06,24073
2020-05-07,24644
2020-05-08,26435
2020-05-09,28736
2020-05-10,30334
2020-05-11,32081
