date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,3
2020-03-23,6
2020-03-24,6
2020-03-25,8
2020-03-26,8
2020-03-27,9
2020-03-28,14
2020-03-29,17
2020-03-30,24
2020-03-31,30
2020-04-01,30
2020-04-02,32
2020-04-03,37
2020-04-04,41
2020-04-05,46
2020-04-06,54
2020-04-07,55
2020-04-08,59
2020-04-09,63
2020-04-10,66
2020-04-11,74
2020-04-12,79
2020-04-13,87
2020-04-14,94
2020-04-15,95
2020-04-16,103
2020-04-17,109
2020-04-18,116
2020-04-19,120
2020-04-20,126
2020-04-21,136
2020-04-22,141
2020-04-23,146
2020-04-24,154
2020-04-25,159
2020-04-26,165
2020-04-27,167
2020-04-28,167
2020-04-29,178
2020-04-30,188
2020-05-01,192
2020-05-02,197
2020-05-03,197
2020-05-04,200
2020-05-05,210
2020-05-06,218
2020-05-07,225
2020-05-08,231
2020-05-09,237
2020-05-10,244
2020-05-11,249
