date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,1.0
2020-03-11,7.0
2020-03-12,3.0
2020-03-13,16.0
2020-03-14,9.0
2020-03-15,7.0
2020-03-16,12.0
2020-03-17,14.0
2020-03-18,17.0
2020-03-19,23.0
2020-03-20,28.0
2020-03-21,63.0
2020-03-22,113.0
2020-03-23,32.0
2020-03-24,0.0
2020-03-25,98.0
2020-03-26,115.0
2020-03-27,116.0
2020-03-28,112.0
2020-03-29,115.0
2020-03-30,88.0
2020-03-31,192.0
2020-04-01,0.0
2020-04-02,136.0
2020-04-03,158.0
2020-04-04,198.0
2020-04-05,128.0
2020-04-06,187.0
2020-04-07,112.0
2020-04-08,149.0
2020-04-09,279.0
2020-04-10,224.0
2020-04-11,222.0
2020-04-12,260.0
2020-04-13,166.0
2020-04-14,72.0
2020-04-15,102.0
2020-04-16,177.0
2020-04-17,265.0
2020-04-18,194.0
2020-04-19,63.0
2020-04-20,194.0
2020-04-21,191.0
2020-04-22,163.0
2020-04-23,345.0
2020-04-24,172.0
2020-04-25,200.0
2020-04-26,241.0
2020-04-27,242.0
2020-04-28,0.0
2020-04-29,357.0
2020-04-30,154.0
2020-05-01,188.0
2020-05-02,370.0
2020-05-03,0.0
2020-05-04,107.0
2020-05-05,326.0
2020-05-06,208.0
2020-05-07,137.0
2020-05-08,202.0
2020-05-09,212.0
2020-05-10,166.0
2020-05-11,168.0
2020-05-12,167.0
2020-05-13,161.0
2020-05-14,174.0
2020-05-15,150.0
2020-05-16,181.0
2020-05-17,157.0
2020-05-18,120.0
2020-05-19,141.0
2020-05-20,110.0
2020-05-21,139.0
2020-05-22,151.0
2020-05-23,310.0
2020-05-24,349.0
2020-05-25,257.0
2020-05-26,264.0
2020-05-27,281.0
2020-05-28,403.0
2020-05-29,400.0
2020-05-30,487.0
2020-05-31,445.0
2020-06-01,374.0
2020-06-02,258.0
2020-06-03,514.0
2020-06-04,435.0
2020-06-05,419.0
2020-06-06,541.0
2020-06-07,421.0
2020-06-08,429.0
2020-06-09,379.0
2020-06-10,656.0
2020-06-11,697.0
2020-06-12,625.0
2020-06-13,848.0
2020-06-14,1359.0
2020-06-15,4.0
2020-06-16,540.0
2020-06-17,635.0
2020-06-18,754.0
2020-06-19,923.0
2020-06-20,948.0
2020-06-21,808.0
2020-06-22,722.0
2020-06-23,562.0
2020-06-24,716.0
2020-06-25,1007.0
2020-06-26,868.0
2020-06-27,753.0
2020-06-28,1028.0
2020-06-29,1099.0
2020-06-30,765.0
2020-07-01,913.0
2020-07-02,774.0
2020-07-03,758.0
2020-07-04,988.0
2020-07-05,1166.0
2020-07-06,1185.0
2020-07-07,957.0
2020-07-08,960.0
2020-07-09,965.0
2020-07-10,1041.0
2020-07-11,1075.0
2020-07-12,1301.0
2020-07-13,1540.0
2020-07-14,923.0
2020-07-15,1147.0
2020-07-16,1130.0
2020-07-17,1035.0
2020-07-18,853.0
2020-07-19,1207.0
2020-07-20,958.0
2020-07-21,727.0
2020-07-22,753.0
2020-07-23,911.0
2020-07-24,1176.0
2020-07-25,871.0
2020-07-26,1432.0
2020-07-27,1146.0
2020-07-28,781.0
2020-07-29,1046.0
2020-07-30,922.0
2020-07-31,1065.0
2020-08-01,1127.0
2020-08-02,1070.0
2020-08-03,1003.0
2020-08-04,968.0
2020-08-05,807.0
2020-08-06,1187.0
2020-08-07,1142.0
2020-08-08,1091.0
