date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,2
2020-04-07,2
2020-04-08,2
2020-04-09,2
2020-04-10,2
2020-04-11,2
2020-04-12,2
2020-04-13,2
2020-04-14,2
2020-04-15,2
2020-04-16,7
2020-04-17,7
2020-04-18,7
2020-04-19,7
2020-04-20,7
2020-04-21,7
2020-04-22,8
2020-04-23,8
2020-04-24,8
2020-04-25,8
2020-04-26,8
2020-04-27,8
2020-04-28,8
2020-04-29,8
2020-04-30,8
2020-05-01,8
2020-05-02,8
2020-05-03,8
2020-05-04,8
2020-05-05,8
2020-05-06,8
2020-05-07,8
2020-05-08,8
2020-05-09,8
2020-05-10,8
2020-05-11,8
2020-05-12,8
2020-05-13,8
2020-05-14,8
2020-05-15,8
2020-05-16,8
2020-05-17,8
2020-05-18,8
2020-05-19,8
2020-05-20,8
2020-05-21,8
2020-05-22,8
2020-05-23,8
2020-05-24,8
2020-05-25,8
2020-05-26,8
2020-05-27,8
2020-05-28,8
2020-05-29,8
2020-05-30,8
2020-05-31,8
2020-06-01,8
2020-06-02,8
2020-06-03,8
2020-06-04,8
2020-06-05,8
2020-06-06,8
2020-06-07,8
2020-06-08,8
2020-06-09,8
2020-06-10,8
2020-06-11,8
2020-06-12,8
2020-06-13,8
2020-06-14,8
2020-06-15,8
2020-06-16,8
2020-06-17,8
2020-06-18,8
2020-06-19,8
2020-06-20,8
2020-06-21,8
2020-06-22,9
2020-06-23,9
2020-06-24,10
2020-06-25,10
2020-06-26,11
2020-06-27,11
2020-06-28,11
2020-06-29,11
2020-06-30,11
2020-07-01,11
2020-07-02,11
2020-07-03,11
2020-07-04,11
2020-07-05,11
2020-07-06,11
2020-07-07,11
2020-07-08,11
2020-07-09,11
2020-07-10,11
2020-07-11,11
2020-07-12,11
2020-07-13,11
2020-07-14,11
2020-07-15,11
2020-07-16,11
2020-07-17,15
2020-07-18,16
2020-07-19,16
2020-07-20,19
2020-07-21,27
2020-07-22,30
2020-07-23,31
2020-07-24,32
2020-07-25,39
2020-07-26,62
2020-07-27,62
2020-07-28,63
2020-07-29,63
2020-07-30,63
2020-07-31,72
2020-08-01,91
2020-08-02,110
2020-08-03,111
2020-08-04,114
2020-08-05,153
2020-08-06,163
2020-08-07,188
2020-08-08,188
2020-08-09,214
2020-08-10,214
2020-08-11,214
2020-08-12,287
2020-08-13,271
2020-08-14,271
2020-08-15,271
2020-08-16,323
2020-08-17,333
2020-08-18,347
2020-08-19,347
2020-08-20,361
2020-08-21,361
2020-08-22,361
2020-08-23,401
2020-08-24,401
2020-08-25,419
2020-08-26,419
2020-08-27,424
2020-08-28,453
2020-08-29,453
2020-08-30,459
2020-08-31,459
2020-09-01,460
2020-09-02,471
2020-09-03,471
2020-09-04,479
2020-09-05,488
2020-09-06,497
2020-09-07,497
2020-09-08,503
2020-09-09,504
2020-09-10,507
2020-09-11,508
2020-09-12,508
2020-09-13,510
2020-09-14,511
2020-09-15,511
2020-09-16,516
2020-09-17,516
2020-09-18,516
2020-09-19,516
2020-09-20,517
2020-09-21,517
2020-09-22,527
2020-09-23,527
2020-09-24,531
2020-09-25,532
2020-09-26,532
2020-09-27,532
2020-09-28,532
2020-09-29,534
2020-09-30,534
2020-10-01,539
2020-10-02,539
2020-10-03,540
2020-10-04,540
2020-10-05,540
2020-10-06,541
2020-10-07,541
2020-10-08,549
2020-10-09,549
2020-10-10,549
2020-10-11,554
2020-10-12,565
