date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,2
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,3
2020-03-29,3
2020-03-30,3
2020-03-31,3
2020-04-01,3
2020-04-02,3
2020-04-03,3
2020-04-04,3
2020-04-05,3
2020-04-06,5
2020-04-07,5
2020-04-08,5
2020-04-09,5
2020-04-10,6
2020-04-11,6
2020-04-12,6
2020-04-13,6
2020-04-14,7
2020-04-15,8
2020-04-16,8
2020-04-17,8
2020-04-18,8
2020-04-19,8
2020-04-20,8
2020-04-21,8
2020-04-22,9
2020-04-23,9
2020-04-24,9
2020-04-25,9
2020-04-26,9
2020-04-27,9
2020-04-28,9
2020-04-29,9
2020-04-30,10
2020-05-01,10
2020-05-02,10
2020-05-03,10
2020-05-04,10
2020-05-05,10
2020-05-06,10
2020-05-07,10
2020-05-08,10
2020-05-09,10
2020-05-10,10
2020-05-11,10
2020-05-12,10
2020-05-13,11
2020-05-14,11
2020-05-15,11
2020-05-16,11
2020-05-17,11
2020-05-18,11
2020-05-19,11
2020-05-20,11
2020-05-21,11
2020-05-22,11
2020-05-23,11
2020-05-24,11
2020-05-25,11
2020-05-26,11
2020-05-27,11
2020-05-28,11
2020-05-29,11
2020-05-30,11
2020-05-31,11
2020-06-01,11
2020-06-02,11
2020-06-03,11
2020-06-04,11
2020-06-05,11
2020-06-06,11
2020-06-07,11
2020-06-08,11
2020-06-09,11
2020-06-10,11
2020-06-11,11
2020-06-12,11
2020-06-13,11
2020-06-14,11
2020-06-15,12
2020-06-16,13
2020-06-17,13
2020-06-18,13
2020-06-19,13
2020-06-20,13
2020-06-21,13
2020-06-22,13
2020-06-23,13
2020-06-24,13
2020-06-25,13
2020-06-26,13
2020-06-27,15
2020-06-28,15
2020-06-29,16
2020-06-30,17
2020-07-01,19
2020-07-02,19
2020-07-03,19
2020-07-04,20
2020-07-05,20
2020-07-06,20
2020-07-07,20
2020-07-08,20
2020-07-09,20
2020-07-10,20
2020-07-11,21
2020-07-12,22
2020-07-13,25
2020-07-14,25
2020-07-15,25
2020-07-16,27
2020-07-17,28
2020-07-18,29
2020-07-19,31
2020-07-20,33
2020-07-21,35
2020-07-22,36
2020-07-23,36
2020-07-24,38
2020-07-25,40
2020-07-26,41
2020-07-27,43
2020-07-28,45
2020-07-29,46
2020-07-30,47
2020-07-31,49
2020-08-01,52
2020-08-02,52
2020-08-03,55
2020-08-04,59
2020-08-05,61
2020-08-06,66
2020-08-07,69
2020-08-08,72
2020-08-09,75
2020-08-10,82
2020-08-11,86
2020-08-12,93
2020-08-13,97
2020-08-14,108
2020-08-15,127
2020-08-16,138
2020-08-17,145
2020-08-18,161
2020-08-19,165
2020-08-20,170
2020-08-21,182
2020-08-22,192
2020-08-23,205
2020-08-24,219
2020-08-25,231
2020-08-26,247
2020-08-27,265
2020-08-28,280
2020-08-29,294
2020-08-30,308
2020-08-31,326
2020-09-01,348
2020-09-02,358
2020-09-03,373
2020-09-04,398
2020-09-05,412
2020-09-06,435
2020-09-07,449
2020-09-08,463
2020-09-09,474
2020-09-10,485
2020-09-11,496
2020-09-12,514
2020-09-13,525
2020-09-14,539
2020-09-15,552
2020-09-16,566
2020-09-17,584
2020-09-18,611
2020-09-19,636
2020-09-20,659
2020-09-21,676
2020-09-22,705
2020-09-23,727
2020-09-24,743
2020-09-25,761
2020-09-26,782
2020-09-27,803
2020-09-28,818
2020-09-29,841
2020-09-30,857
2020-10-01,869
2020-10-02,890
2020-10-03,913
2020-10-04,929
2020-10-05,947
2020-10-06,966
2020-10-07,989
2020-10-08,1012
2020-10-09,1045
2020-10-10,1065
2020-10-11,1077
2020-10-12,1096
