date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,5.0
2020-03-09,1.0
2020-03-10,4.0
2020-03-11,0.0
2020-03-12,4.0
2020-03-13,13.0
2020-03-14,10.0
2020-03-15,5.0
2020-03-16,43.0
2020-03-17,31.0
2020-03-18,28.0
2020-03-19,89.0
2020-03-20,0.0
2020-03-21,84.0
2020-03-22,45.0
2020-03-23,32.0
2020-03-24,21.0
2020-03-25,64.0
2020-03-26,100.0
2020-03-27,55.0
2020-03-28,36.0
2020-03-29,181.0
2020-03-30,98.0
2020-03-31,115.0
2020-04-01,258.0
2020-04-02,91.0
2020-04-03,181.0
2020-04-04,151.0
2020-04-05,535.0
2020-04-06,280.0
2020-04-07,393.0
2020-04-08,1388.0
2020-04-09,914.0
2020-04-10,641.0
2020-04-11,951.0
2020-04-12,671.0
2020-04-13,2265.0
2020-04-14,519.0
2020-04-15,1172.0
2020-04-16,1016.0
2020-04-17,998.0
2020-04-18,931.0
2020-04-19,1208.0
2020-04-20,697.0
2020-04-21,1512.0
2020-04-22,1413.0
2020-04-23,1664.0
2020-04-24,734.0
2020-04-25,3683.0
2020-04-26,2186.0
2020-04-27,1182.0
2020-04-28,2491.0
2020-04-29,2741.0
2020-04-30,3045.0
2020-05-01,3483.0
2020-05-02,2075.0
2020-05-03,3394.0
2020-05-04,1444.0
2020-05-05,3817.0
2020-05-06,3628.0
2020-05-07,3709.0
2020-05-08,3321.0
2020-05-09,3168.0
2020-05-10,2292.0
2020-05-11,1515.0
2020-05-12,3237.0
2020-05-13,4247.0
