date,current
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,1.0
2020-01-31,1.0
2020-02-01,1.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,2.0
2020-02-08,2.0
2020-02-09,2.0
2020-02-10,2.0
2020-02-11,2.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-15,1.0
2020-02-16,1.0
2020-02-17,1.0
2020-02-18,1.0
2020-02-19,1.0
2020-02-20,1.0
2020-02-21,1.0
2020-02-22,1.0
2020-02-23,1.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,1.0
2020-02-27,1.0
2020-02-28,1.0
2020-02-29,1.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,1.0
2020-03-06,3.0
2020-03-07,4.0
2020-03-08,8.0
2020-03-09,18.0
2020-03-10,30.0
2020-03-11,46.0
2020-03-12,48.0
2020-03-13,57.0
2020-03-14,101.0
2020-03-15,127.0
2020-03-16,128.0
2020-03-17,170.0
2020-03-18,178.0
2020-03-19,192.0
2020-03-20,204.0
2020-03-21,275.0
2020-03-22,338.0
