date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,2
2020-03-13,5
2020-03-14,8
2020-03-15,11
2020-03-16,12
2020-03-17,12
2020-03-18,19
2020-03-19,17
2020-03-20,18
2020-03-21,19
2020-03-22,25
2020-03-23,33
2020-03-24,35
2020-03-25,38
2020-03-26,45
2020-03-27,54
2020-03-28,68
2020-03-29,71
2020-03-30,78
2020-03-31,88
2020-04-01,96
2020-04-02,107
2020-04-03,136
2020-04-04,144
2020-04-05,152
2020-04-06,163
2020-04-07,177
2020-04-08,182
2020-04-09,203
2020-04-10,221
2020-04-11,247
2020-04-12,297
2020-04-13,315
2020-04-14,335
2020-04-15,349
2020-04-16,362
2020-04-17,387
2020-04-18,397
2020-04-19,409
2020-04-20,428
2020-04-21,437
2020-04-22,446
2020-04-23,462
2020-04-24,477
2020-04-25,494
2020-04-26,501
2020-04-27,511
2020-04-28,530
2020-04-29,558
2020-04-30,568
2020-05-01,579
2020-05-02,603
2020-05-03,607
2020-05-04,623
2020-05-05,637
2020-05-06,658
2020-05-07,685
2020-05-08,696
2020-05-09,704
2020-05-10,719
2020-05-11,726
2020-05-12,751
2020-05-13,772
2020-05-14,790
2020-05-15,806
2020-05-16,817
2020-05-17,824
2020-05-18,831
2020-05-19,837
2020-05-20,842
2020-05-21,846
2020-05-22,857
2020-05-23,863
2020-05-24,868
2020-05-25,873
2020-05-26,886
2020-05-27,904
2020-05-28,921
2020-05-29,942
2020-05-30,950
2020-05-31,957
2020-06-01,960
2020-06-02,966
2020-06-03,974
2020-06-04,984
2020-06-05,987
2020-06-06,994
2020-06-07,1003
2020-06-08,1011
2020-06-09,1017
2020-06-10,1027
2020-06-11,1036
2020-06-12,1052
2020-06-13,1074
2020-06-14,1088
2020-06-15,1098
2020-06-16,1103
2020-06-17,1108
2020-06-18,1116
2020-06-19,1130
2020-06-20,1150
2020-06-21,1169
2020-06-22,1177
2020-06-23,1186
2020-06-24,1204
2020-06-25,1212
2020-06-26,1224
2020-06-27,1236
2020-06-28,1244
2020-06-29,1255
2020-06-30,1266
2020-07-01,1270
2020-07-02,1274
2020-07-03,1280
2020-07-04,1290
2020-07-05,1297
2020-07-06,1303
2020-07-07,1309
2020-07-08,1314
2020-07-09,1314
2020-07-10,1360
2020-07-11,1372
2020-07-12,1534
2020-07-13,1599
2020-07-14,1603
2020-07-15,1614
2020-07-16,1643
2020-07-17,1660
2020-07-18,1773
2020-07-19,1831
2020-07-20,1835
2020-07-21,1837
2020-07-22,1843
2020-07-23,1871
2020-07-24,1879
2020-07-25,1897
2020-07-26,1932
2020-07-27,1945
2020-07-28,1947
2020-07-29,1962
2020-07-30,1983
2020-07-31,2023
2020-08-01,2039
2020-08-02,2059
2020-08-03,2104
2020-08-04,2115
2020-08-05,2123
2020-08-06,2150
2020-08-07,2168
2020-08-08,2209
2020-08-09,2270
2020-08-10,2294
2020-08-11,2312
2020-08-12,2404
2020-08-13,2426
2020-08-14,2442
2020-08-15,2600
2020-08-16,2665
2020-08-17,2681
2020-08-18,2687
2020-08-19,2795
2020-08-20,2883
2020-08-21,2940
2020-08-22,2966
2020-08-23,2998
2020-08-24,3010
2020-08-25,3038
2020-08-26,3137
2020-08-27,3234
2020-08-28,3325
2020-08-29,3419
2020-08-30,3520
2020-08-31,3558
2020-09-01,3597
2020-09-02,3623
2020-09-03,3688
2020-09-04,3737
2020-09-05,3790
2020-09-06,3875
2020-09-07,3890
2020-09-08,3916
2020-09-09,3986
2020-09-10,4066
2020-09-11,4108
2020-09-12,4292
2020-09-13,4371
2020-09-14,4630
2020-09-15,4663
2020-09-16,4732
2020-09-17,4785
2020-09-18,4830
2020-09-19,4930
2020-09-20,4984
2020-09-21,4999
2020-09-22,5049
2020-09-23,5091
2020-09-24,5127
2020-09-25,5196
2020-09-26,5284
2020-09-27,5344
2020-09-28,5381
2020-09-29,5448
2020-09-30,5504
2020-10-01,5562
2020-10-02,5616
2020-10-03,5678
2020-10-04,5776
2020-10-05,5840
2020-10-06,5865
2020-10-07,5925
2020-10-08,6069
2020-10-09,6152
2020-10-10,6238
2020-10-11,6321
2020-10-12,6332
