date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,1
2020-03-06,5
2020-03-07,5
2020-03-08,11
2020-03-09,16
2020-03-10,22
2020-03-11,31
2020-03-12,49
2020-03-13,68
2020-03-14,103
2020-03-15,119
2020-03-16,177
2020-03-17,238
2020-03-18,251
2020-03-19,355
2020-03-20,425
2020-03-21,536
2020-03-22,634
2020-03-23,749
2020-03-24,901
2020-03-25,1051
2020-03-26,1221
2020-03-27,1389
2020-03-28,1638
2020-03-29,1862
2020-03-30,2055
2020-03-31,2311
2020-04-01,2554
2020-04-02,2946
2020-04-03,3383
2020-04-04,3627
2020-04-05,4102
2020-04-06,4413
2020-04-07,4848
2020-04-08,5205
2020-04-09,5575
2020-04-10,5955
2020-04-11,6356
2020-04-12,6674
2020-04-13,6934
2020-04-14,7202
2020-04-15,7582
2020-04-16,7918
2020-04-17,8379
2020-04-18,8742
2020-04-19,9287
2020-04-20,9593
2020-04-21,9856
2020-04-22,10169
2020-04-23,10511
2020-04-24,10892
2020-04-25,11273
2020-04-26,11617
2020-04-27,11902
2020-04-28,12218
2020-04-29,12640
2020-04-30,12877
2020-05-01,13105
2020-05-02,13375
2020-05-03,13693
2020-05-04,14006
2020-05-05,14431
2020-05-06,14740
2020-05-07,15047
2020-05-08,15366
2020-05-09,15651
2020-05-10,15996
2020-05-11,16326
2020-05-12,16921
2020-05-13,17204
2020-05-14,17615
2020-05-15,18016
2020-05-16,18257
2020-05-17,18529
2020-05-18,18885
2020-05-19,19268
2020-05-20,19739
2020-05-21,20143
2020-05-22,20619
2020-05-23,20931
2020-05-24,21326
2020-05-25,21631
2020-05-26,22074
2020-05-27,22473
2020-05-28,22825
2020-05-29,23155
2020-05-30,23571
2020-05-31,23786
2020-06-01,24165
2020-06-02,24395
2020-06-03,24687
2020-06-04,25048
2020-06-05,25410
2020-06-06,25986
2020-06-07,26561
2020-06-08,27160
2020-06-09,27560
2020-06-10,27842
2020-06-11,28201
2020-06-12,28577
2020-06-13,29017
2020-06-14,29392
2020-06-15,29788
2020-06-16,30195
2020-06-17,30701
2020-06-18,31015
2020-06-19,31316
2020-06-20,31620
2020-06-21,31931
2020-06-22,32227
2020-06-23,32527
2020-06-24,32821
2020-06-25,33119
2020-06-26,33395
2020-06-27,33714
2020-06-28,33907
2020-06-29,34154
2020-06-30,34393
2020-07-01,34775
2020-07-02,35146
2020-07-03,35405
2020-07-04,35719
2020-07-05,35950
2020-07-06,36155
2020-07-07,36412
2020-07-08,36689
2020-07-09,36951
2020-07-10,37216
2020-07-11,37521
2020-07-12,37891
2020-07-13,38190
2020-07-14,38457
2020-07-15,38721
2020-07-16,39054
2020-07-17,39407
2020-07-18,39746
2020-07-19,40104
2020-07-20,40383
2020-07-21,40782
2020-07-22,41162
2020-07-23,41580
2020-07-24,42038
2020-07-25,42622
2020-07-26,43065
2020-07-27,43402
2020-07-28,43904
2020-07-29,44416
2020-07-30,45031
2020-07-31,45688
2020-08-01,46346
2020-08-02,46894
2020-08-03,47469
2020-08-04,48149
2020-08-05,48789
2020-08-06,49515
2020-08-07,50324
2020-08-08,51167
2020-08-09,51791
