date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,1.0
2020-03-05,0.0
2020-03-06,4.0
2020-03-07,0.0
2020-03-08,6.0
2020-03-09,5.0
2020-03-10,6.0
2020-03-11,9.0
2020-03-12,18.0
2020-03-13,19.0
2020-03-14,35.0
2020-03-15,16.0
2020-03-16,58.0
2020-03-17,61.0
2020-03-18,13.0
2020-03-19,104.0
2020-03-20,70.0
2020-03-21,111.0
2020-03-22,98.0
2020-03-23,115.0
2020-03-24,152.0
2020-03-25,150.0
2020-03-26,170.0
2020-03-27,168.0
2020-03-28,249.0
2020-03-29,224.0
2020-03-30,193.0
2020-03-31,256.0
2020-04-01,243.0
2020-04-02,392.0
2020-04-03,437.0
2020-04-04,244.0
2020-04-05,475.0
2020-04-06,311.0
2020-04-07,435.0
2020-04-08,357.0
2020-04-09,370.0
2020-04-10,380.0
2020-04-11,401.0
2020-04-12,318.0
2020-04-13,260.0
2020-04-14,268.0
2020-04-15,380.0
2020-04-16,336.0
2020-04-17,461.0
2020-04-18,363.0
2020-04-19,545.0
2020-04-20,306.0
2020-04-21,263.0
2020-04-22,313.0
2020-04-23,342.0
2020-04-24,381.0
2020-04-25,381.0
2020-04-26,344.0
2020-04-27,285.0
2020-04-28,316.0
2020-04-29,422.0
2020-04-30,237.0
2020-05-01,228.0
2020-05-02,270.0
2020-05-03,318.0
2020-05-04,313.0
2020-05-05,425.0
2020-05-06,309.0
2020-05-07,307.0
2020-05-08,319.0
2020-05-09,285.0
2020-05-10,345.0
2020-05-11,330.0
2020-05-12,595.0
2020-05-13,283.0
2020-05-14,411.0
2020-05-15,401.0
2020-05-16,241.0
2020-05-17,272.0
2020-05-18,356.0
2020-05-19,383.0
2020-05-20,471.0
2020-05-21,404.0
2020-05-22,476.0
2020-05-23,312.0
2020-05-24,395.0
2020-05-25,305.0
2020-05-26,443.0
2020-05-27,399.0
2020-05-28,352.0
2020-05-29,330.0
2020-05-30,416.0
2020-05-31,215.0
2020-06-01,379.0
2020-06-02,230.0
2020-06-03,292.0
2020-06-04,361.0
2020-06-05,362.0
2020-06-06,576.0
2020-06-07,575.0
2020-06-08,599.0
2020-06-09,400.0
2020-06-10,282.0
2020-06-11,359.0
2020-06-12,376.0
2020-06-13,440.0
2020-06-14,375.0
2020-06-15,396.0
2020-06-16,407.0
2020-06-17,506.0
2020-06-18,314.0
2020-06-19,301.0
2020-06-20,304.0
2020-06-21,311.0
2020-06-22,296.0
2020-06-23,300.0
2020-06-24,294.0
2020-06-25,298.0
2020-06-26,276.0
2020-06-27,319.0
2020-06-28,193.0
2020-06-29,247.0
2020-06-30,239.0
2020-07-01,382.0
2020-07-02,371.0
2020-07-03,259.0
2020-07-04,314.0
2020-07-05,231.0
2020-07-06,205.0
2020-07-07,257.0
2020-07-08,277.0
2020-07-09,262.0
2020-07-10,265.0
2020-07-11,305.0
2020-07-12,370.0
2020-07-13,299.0
2020-07-14,267.0
2020-07-15,264.0
2020-07-16,333.0
2020-07-17,353.0
2020-07-18,339.0
2020-07-19,358.0
2020-07-20,279.0
2020-07-21,399.0
2020-07-22,380.0
2020-07-23,418.0
2020-07-24,458.0
2020-07-25,584.0
2020-07-26,443.0
2020-07-27,337.0
2020-07-28,502.0
2020-07-29,512.0
2020-07-30,615.0
2020-07-31,657.0
2020-08-01,658.0
2020-08-02,548.0
2020-08-03,575.0
2020-08-04,680.0
2020-08-05,640.0
2020-08-06,726.0
2020-08-07,809.0
2020-08-08,843.0
2020-08-09,624.0
2020-08-10,619.0
