date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,2
2020-03-03,2
2020-03-04,5
2020-03-05,8
2020-03-06,13
2020-03-07,20
2020-03-08,30
2020-03-09,30
2020-03-10,41
2020-03-11,59
2020-03-12,59
2020-03-13,112
2020-03-14,169
2020-03-15,245
2020-03-16,331
2020-03-17,448
2020-03-18,448
2020-03-19,785
2020-03-20,1020
2020-03-21,1280
2020-03-22,1600
2020-03-23,2060
2020-03-24,2362
2020-03-25,2995
2020-03-26,3544
2020-03-27,4268
2020-03-28,5170
2020-03-29,5962
2020-03-30,6408
2020-03-31,7443
2020-04-01,8251
2020-04-02,9034
2020-04-03,9886
2020-04-04,10524
2020-04-05,11278
2020-04-06,11730
2020-04-07,12442
2020-04-08,13141
2020-04-09,13956
2020-04-10,15472
2020-04-11,15987
2020-04-12,16585
2020-04-13,16934
2020-04-14,17448
2020-04-15,18091
2020-04-16,18841
2020-04-17,19022
2020-04-18,19685
2020-04-19,20206
2020-04-20,20863
2020-04-21,21379
2020-04-22,21982
2020-04-23,22353
2020-04-24,22797
2020-04-25,23392
2020-04-26,23864
2020-04-27,24027
2020-04-28,24322
2020-04-29,24505
2020-04-30,25045
2020-05-01,25351
2020-05-02,25190
2020-05-03,25282
2020-05-04,25524
2020-05-05,25702
2020-05-06,26182
2020-05-07,26715
2020-05-08,27268
2020-05-09,27406
2020-05-10,27581
2020-05-11,27679
