date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,2.0
2020-03-03,0.0
2020-03-04,3.0
2020-03-05,3.0
2020-03-06,5.0
2020-03-07,7.0
2020-03-08,10.0
2020-03-09,0.0
2020-03-10,11.0
2020-03-11,18.0
2020-03-12,0.0
2020-03-13,53.0
2020-03-14,57.0
2020-03-15,76.0
2020-03-16,86.0
2020-03-17,117.0
2020-03-18,0.0
2020-03-19,337.0
2020-03-20,235.0
2020-03-21,260.0
2020-03-22,320.0
2020-03-23,460.0
2020-03-24,302.0
2020-03-25,633.0
2020-03-26,549.0
2020-03-27,724.0
2020-03-28,902.0
2020-03-29,792.0
2020-03-30,446.0
2020-03-31,1035.0
2020-04-01,808.0
2020-04-02,783.0
2020-04-03,852.0
2020-04-04,638.0
2020-04-05,754.0
2020-04-06,452.0
2020-04-07,712.0
2020-04-08,699.0
2020-04-09,815.0
2020-04-10,1516.0
2020-04-11,515.0
2020-04-12,598.0
2020-04-13,349.0
2020-04-14,514.0
2020-04-15,643.0
2020-04-16,750.0
2020-04-17,181.0
2020-04-18,663.0
2020-04-19,521.0
2020-04-20,657.0
2020-04-21,516.0
2020-04-22,603.0
2020-04-23,371.0
2020-04-24,444.0
2020-04-25,595.0
2020-04-26,472.0
2020-04-27,163.0
2020-04-28,295.0
2020-04-29,183.0
2020-04-30,540.0
2020-05-01,306.0
2020-05-02,-161.0
2020-05-03,92.0
2020-05-04,242.0
2020-05-05,178.0
2020-05-06,480.0
2020-05-07,533.0
2020-05-08,553.0
2020-05-09,138.0
2020-05-10,175.0
2020-05-11,98.0
2020-05-12,234.0
2020-05-13,219.0
2020-05-14,187.0
2020-05-15,264.0
2020-05-16,227.0
2020-05-17,226.0
2020-05-18,173.0
2020-05-19,223.0
2020-05-20,228.0
2020-05-21,252.0
2020-05-22,288.0
2020-05-23,271.0
2020-05-24,152.0
2020-05-25,165.0
2020-05-26,219.0
2020-05-27,285.0
2020-05-28,304.0
2020-05-29,350.0
2020-05-30,257.0
2020-05-31,297.0
2020-06-01,200.0
2020-06-02,195.0
2020-06-03,366.0
2020-06-04,331.0
2020-06-05,377.0
2020-06-06,382.0
2020-06-07,342.0
2020-06-08,192.0
2020-06-09,421.0
2020-06-10,294.0
2020-06-11,310.0
2020-06-12,270.0
2020-06-13,283.0
2020-06-14,227.0
2020-06-15,346.0
2020-06-16,300.0
2020-06-17,336.0
2020-06-18,417.0
2020-06-19,375.0
2020-06-20,377.0
2020-06-21,292.0
2020-06-22,259.0
2020-06-23,345.0
2020-06-24,367.0
2020-06-25,311.0
2020-06-26,451.0
2020-06-27,323.0
2020-06-28,457.0
2020-06-29,266.0
2020-06-30,229.0
2020-07-01,313.0
2020-07-02,328.0
2020-07-03,374.0
2020-07-04,413.0
2020-07-05,328.0
2020-07-06,232.0
2020-07-07,287.0
2020-07-08,443.0
2020-07-09,418.0
2020-07-10,402.0
2020-07-11,542.0
2020-07-12,291.0
2020-07-13,306.0
2020-07-14,233.0
2020-07-15,375.0
2020-07-16,339.0
2020-07-17,312.0
2020-07-18,313.0
2020-07-19,246.0
2020-07-20,135.0
2020-07-21,127.0
2020-07-22,252.0
2020-07-23,229.0
2020-07-24,313.0
2020-07-25,263.0
2020-07-26,209.0
2020-07-27,135.0
2020-07-28,111.0
2020-07-29,203.0
2020-07-30,255.0
2020-07-31,204.0
2020-08-01,238.0
2020-08-02,153.0
2020-08-03,106.0
2020-08-04,112.0
2020-08-05,167.0
2020-08-06,213.0
2020-08-07,290.0
2020-08-08,186.0
2020-08-09,131.0
