date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,0.0
2020-02-28,2.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,1.0
2020-03-05,2.0
2020-03-06,3.0
2020-03-07,0.0
2020-03-08,6.0
2020-03-09,0.0
2020-03-10,10.0
2020-03-11,20.0
2020-03-12,4.0
2020-03-13,40.0
2020-03-14,34.0
2020-03-15,8.0
2020-03-16,27.0
2020-03-17,26.0
2020-03-18,76.0
2020-03-19,17.0
2020-03-20,31.0
2020-03-21,59.0
2020-03-22,66.0
2020-03-23,143.0
2020-03-24,218.0
2020-03-25,112.0
2020-03-26,123.0
2020-03-27,263.0
2020-03-28,160.0
2020-03-29,363.0
2020-03-30,294.0
2020-03-31,136.0
2020-04-01,215.0
2020-04-02,278.0
2020-04-03,445.0
2020-04-04,430.0
2020-04-05,251.0
2020-04-06,193.0
2020-04-07,360.0
2020-04-08,344.0
2020-04-09,441.0
2020-04-10,265.0
2020-04-11,523.0
2020-04-12,310.0
2020-04-13,333.0
2020-04-14,246.0
2020-04-15,337.0
2020-04-16,491.0
2020-04-17,360.0
2020-04-18,351.0
2020-04-19,328.0
2020-04-20,190.0
2020-04-21,306.0
2020-04-22,468.0
2020-04-23,386.0
2020-04-24,321.0
2020-04-25,218.0
2020-04-26,401.0
2020-04-27,303.0
2020-04-28,277.0
2020-04-29,362.0
2020-04-30,262.0
2020-05-01,327.0
2020-05-02,165.0
2020-05-03,431.0
2020-05-04,349.0
2020-05-05,325.0
2020-05-06,270.0
2020-05-07,392.0
2020-05-08,312.0
2020-05-09,320.0
2020-05-10,231.0
2020-05-11,226.0
2020-05-12,190.0
2020-05-13,224.0
2020-05-14,245.0
2020-05-15,190.0
2020-05-16,267.0
2020-05-17,167.0
2020-05-18,165.0
2020-05-19,155.0
2020-05-20,196.0
2020-05-21,198.0
2020-05-22,127.0
2020-05-23,145.0
2020-05-24,213.0
2020-05-25,213.0
2020-05-26,146.0
2020-05-27,165.0
2020-05-28,197.0
2020-05-29,191.0
2020-05-30,151.0
2020-05-31,124.0
2020-06-01,141.0
2020-06-02,119.0
2020-06-03,152.0
2020-06-04,238.0
2020-06-05,196.0
2020-06-06,187.0
2020-06-07,189.0
2020-06-08,125.0
2020-06-09,145.0
2020-06-10,196.0
2020-06-11,237.0
2020-06-12,222.0
2020-06-13,275.0
2020-06-14,320.0
2020-06-15,166.0
2020-06-16,250.0
2020-06-17,345.0
2020-06-18,320.0
2020-06-19,320.0
2020-06-20,330.0
2020-06-21,315.0
2020-06-22,246.0
2020-06-23,214.0
2020-06-24,321.0
2020-06-25,460.0
2020-06-26,411.0
2020-06-27,325.0
2020-06-28,291.0
2020-06-29,269.0
2020-06-30,388.0
2020-07-01,326.0
2020-07-02,450.0
2020-07-03,420.0
2020-07-04,416.0
2020-07-05,391.0
2020-07-06,250.0
2020-07-07,397.0
2020-07-08,555.0
2020-07-09,614.0
2020-07-10,592.0
2020-07-11,698.0
2020-07-12,456.0
2020-07-13,413.0
2020-07-14,637.0
2020-07-15,641.0
2020-07-16,777.0
2020-07-17,799.0
2020-07-18,889.0
2020-07-19,767.0
2020-07-20,681.0
2020-07-21,994.0
2020-07-22,1030.0
2020-07-23,1112.0
2020-07-24,1119.0
2020-07-25,1284.0
2020-07-26,1120.0
2020-07-27,1104.0
2020-07-28,1151.0
2020-07-29,1182.0
2020-07-30,1356.0
2020-07-31,1295.0
2020-08-01,1225.0
2020-08-02,1075.0
2020-08-03,823.0
2020-08-04,1232.0
2020-08-05,1309.0
2020-08-06,1345.0
2020-08-07,1378.0
2020-08-08,1350.0
2020-08-09,1145.0
2020-08-10,779.0
