date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,2.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,9.0
2020-03-07,0.0
2020-03-08,4.0
2020-03-09,0.0
2020-03-10,3.0
2020-03-11,0.0
2020-03-12,8.0
2020-03-13,17.0
2020-03-14,14.0
2020-03-15,4.0
2020-03-16,27.0
2020-03-17,24.0
2020-03-18,33.0
2020-03-19,52.0
2020-03-20,54.0
2020-03-21,53.0
2020-03-22,61.0
2020-03-23,71.0
2020-03-24,57.0
2020-03-25,163.0
2020-03-26,182.0
2020-03-27,196.0
2020-03-28,228.0
2020-03-29,270.0
2020-03-30,302.0
2020-03-31,501.0
2020-04-01,440.0
2020-04-02,771.0
2020-04-03,601.0
2020-04-04,582.0
2020-04-05,658.0
2020-04-06,954.0
2020-04-07,1154.0
2020-04-08,1175.0
2020-04-09,1459.0
2020-04-10,1786.0
2020-04-11,1667.0
2020-04-12,2186.0
2020-04-13,2558.0
2020-04-14,2774.0
2020-04-15,3388.0
2020-04-16,3448.0
2020-04-17,4070.0
2020-04-18,4785.0
2020-04-19,6060.0
2020-04-20,4268.0
2020-04-21,5642.0
2020-04-22,5236.0
2020-04-23,4774.0
2020-04-24,5849.0
2020-04-25,5966.0
2020-04-26,6361.0
2020-04-27,6198.0
2020-04-28,6411.0
2020-04-29,5841.0
2020-04-30,7099.0
2020-05-01,7933.0
2020-05-02,9623.0
2020-05-03,10633.0
2020-05-04,10581.0
2020-05-05,10102.0
2020-05-06,10559.0
2020-05-07,11231.0
2020-05-08,10699.0
2020-05-09,10817.0
2020-05-10,11012.0
2020-05-11,11656.0
2020-05-12,10899.0
2020-05-13,10028.0
2020-05-14,9974.0
2020-05-15,10598.0
2020-05-16,9200.0
2020-05-17,9709.0
2020-05-18,8926.0
2020-05-19,9263.0
2020-05-20,8764.0
2020-05-21,8849.0
2020-05-22,8894.0
2020-05-23,9434.0
2020-05-24,8599.0
2020-05-25,8946.0
2020-05-26,8915.0
2020-05-27,8338.0
2020-05-28,8371.0
2020-05-29,8572.0
2020-05-30,8952.0
2020-05-31,9268.0
2020-06-01,8485.0
2020-06-02,8858.0
2020-06-03,8529.0
2020-06-04,8823.0
2020-06-05,8718.0
2020-06-06,8846.0
2020-06-07,8971.0
2020-06-08,8970.0
2020-06-09,8587.0
2020-06-10,8393.0
2020-06-11,8777.0
2020-06-12,8961.0
2020-06-13,8697.0
2020-06-14,8809.0
2020-06-15,8217.0
2020-06-16,8241.0
2020-06-17,7824.0
2020-06-18,7772.0
2020-06-19,7971.0
2020-06-20,7870.0
2020-06-21,7717.0
2020-06-22,7586.0
2020-06-23,7413.0
2020-06-24,7165.0
2020-06-25,7105.0
2020-06-26,6788.0
2020-06-27,6843.0
2020-06-28,6784.0
2020-06-29,6683.0
2020-06-30,6683.0
2020-07-01,6550.0
2020-07-02,6752.0
2020-07-03,6710.0
2020-07-04,6623.0
2020-07-05,6719.0
2020-07-06,6569.0
2020-07-07,6363.0
2020-07-08,6534.0
2020-07-09,6491.0
2020-07-10,6623.0
2020-07-11,6586.0
2020-07-12,6587.0
2020-07-13,6511.0
2020-07-14,6240.0
2020-07-15,6410.0
2020-07-16,6415.0
2020-07-17,6389.0
2020-07-18,6214.0
2020-07-19,6096.0
2020-07-20,5901.0
2020-07-21,5828.0
2020-07-22,5850.0
2020-07-23,5830.0
2020-07-24,5779.0
2020-07-25,5833.0
2020-07-26,5741.0
2020-07-27,5607.0
2020-07-28,5380.0
2020-07-29,5449.0
2020-07-30,5484.0
2020-07-31,5468.0
2020-08-01,5429.0
2020-08-02,5387.0
2020-08-03,5364.0
2020-08-04,5121.0
2020-08-05,5186.0
2020-08-06,5239.0
2020-08-07,5191.0
2020-08-08,5185.0
