date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,1
2020-03-16,5
2020-03-17,7
2020-03-18,8
2020-03-19,8
2020-03-20,17
2020-03-21,17
2020-03-22,19
2020-03-23,36
2020-03-24,40
2020-03-25,41
2020-03-26,50
2020-03-27,54
2020-03-28,60
2020-03-29,70
2020-03-30,70
2020-03-31,75
2020-04-01,82
2020-04-02,84
2020-04-03,89
2020-04-04,102
2020-04-05,104
2020-04-06,105
2020-04-07,105
2020-04-08,110
2020-04-09,110
2020-04-10,118
2020-04-11,120
2020-04-12,126
2020-04-13,127
2020-04-14,134
2020-04-15,136
2020-04-16,138
2020-04-17,143
2020-04-18,144
2020-04-19,147
2020-04-20,147
2020-04-21,150
2020-04-22,153
2020-04-23,154
2020-04-24,176
2020-04-25,183
2020-04-26,191
2020-04-27,207
2020-04-28,212
2020-04-29,225
2020-04-30,243
2020-05-01,249
2020-05-02,255
2020-05-03,259
2020-05-04,261
2020-05-05,261
2020-05-06,268
2020-05-07,271
2020-05-08,273
2020-05-09,280
2020-05-10,284
2020-05-11,285
2020-05-12,286
2020-05-13,287
2020-05-14,287
2020-05-15,287
2020-05-16,289
2020-05-17,292
2020-05-18,297
2020-05-19,308
2020-05-20,314
2020-05-21,320
2020-05-22,321
2020-05-23,325
2020-05-24,327
2020-05-25,336
2020-05-26,339
2020-05-27,346
2020-05-28,349
2020-05-29,355
2020-05-30,359
2020-05-31,370
2020-06-01,377
2020-06-02,384
2020-06-03,397
2020-06-04,410
2020-06-05,420
2020-06-06,431
2020-06-07,439
2020-06-08,451
2020-06-09,463
2020-06-10,476
2020-06-11,494
2020-06-12,510
2020-06-13,541
2020-06-14,582
2020-06-15,612
2020-06-16,636
2020-06-17,639
2020-06-18,646
2020-06-19,661
2020-06-20,702
2020-06-21,728
2020-06-22,787
2020-06-23,798
2020-06-24,830
2020-06-25,850
2020-06-26,858
2020-06-27,878
2020-06-28,900
2020-06-29,1001
2020-06-30,1025
2020-07-01,1042
2020-07-02,1063
2020-07-03,1081
2020-07-04,1092
2020-07-05,1105
2020-07-06,1113
2020-07-07,1172
2020-07-08,1194
2020-07-09,1210
2020-07-10,1252
2020-07-11,1299
2020-07-12,1337
2020-07-13,1378
2020-07-14,1416
2020-07-15,1435
2020-07-16,1473
2020-07-17,1485
2020-07-18,1539
2020-07-19,1582
2020-07-20,1629
2020-07-21,1655
2020-07-22,1689
2020-07-23,1710
2020-07-24,1729
2020-07-25,1752
2020-07-26,1821
2020-07-27,1879
2020-07-28,1926
2020-07-29,1963
2020-07-30,1994
2020-07-31,2022
2020-08-01,2042
2020-08-02,2062
2020-08-03,2092
2020-08-04,2099
2020-08-05,2104
2020-08-06,2111
2020-08-07,2128
2020-08-08,2134
