date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,1
2020-05-31,1
2020-06-01,1
2020-06-02,2
2020-06-03,2
2020-06-04,2
2020-06-05,2
2020-06-06,2
2020-06-07,2
2020-06-08,2
2020-06-09,2
2020-06-10,2
2020-06-11,2
2020-06-12,2
2020-06-13,2
2020-06-14,2
2020-06-15,2
2020-06-16,2
2020-06-17,2
2020-06-18,2
2020-06-19,2
2020-06-20,2
2020-06-21,2
2020-06-22,2
2020-06-23,2
2020-06-24,2
2020-06-25,2
2020-06-26,2
2020-06-27,2
2020-06-28,2
2020-06-29,2
2020-06-30,2
2020-07-01,3
2020-07-02,3
2020-07-03,3
2020-07-04,3
2020-07-05,3
2020-07-06,3
2020-07-07,3
2020-07-08,3
2020-07-09,3
2020-07-10,3
2020-07-11,4
2020-07-12,4
2020-07-13,4
2020-07-14,4
2020-07-15,4
2020-07-16,4
2020-07-17,4
2020-07-18,5
2020-07-19,5
2020-07-20,5
2020-07-21,5
2020-07-22,5
2020-07-23,5
2020-07-24,5
2020-07-25,5
2020-07-26,5
2020-07-27,5
2020-07-28,5
2020-07-29,5
2020-07-30,5
2020-07-31,5
2020-08-01,5
2020-08-02,5
2020-08-03,5
2020-08-04,5
2020-08-05,5
2020-08-06,5
2020-08-07,5
2020-08-08,6
2020-08-09,7
2020-08-10,7
2020-08-11,7
2020-08-12,8
2020-08-13,8
2020-08-14,8
2020-08-15,8
2020-08-16,8
2020-08-17,8
2020-08-18,10
2020-08-19,10
2020-08-20,11
2020-08-21,11
2020-08-22,11
2020-08-23,12
2020-08-24,14
2020-08-25,15
2020-08-26,15
2020-08-27,15
2020-08-28,16
2020-08-29,16
2020-08-30,16
2020-08-31,16
2020-09-01,16
2020-09-02,17
2020-09-03,18
2020-09-04,18
2020-09-05,18
2020-09-06,19
2020-09-07,19
2020-09-08,20
2020-09-09,21
2020-09-10,22
2020-09-11,22
2020-09-12,22
2020-09-13,22
2020-09-14,22
2020-09-15,22
2020-09-16,22
2020-09-17,23
2020-09-18,25
2020-09-19,26
2020-09-20,26
2020-09-21,27
2020-09-22,27
2020-09-23,27
2020-09-24,27
2020-09-25,29
2020-09-26,29
2020-09-27,29
2020-09-28,29
2020-09-29,29
2020-09-30,29
2020-10-01,29
2020-10-02,29
2020-10-03,29
2020-10-04,29
2020-10-05,29
2020-10-06,29
2020-10-07,29
2020-10-08,29
2020-10-09,30
2020-10-10,30
2020-10-11,31
2020-10-12,32
