date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,2
2020-03-16,2
2020-03-17,2
2020-03-18,2
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,3
2020-03-24,3
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,3
2020-03-29,9
2020-03-30,9
2020-03-31,13
2020-04-01,13
2020-04-02,13
2020-04-03,13
2020-04-04,14
2020-04-05,14
2020-04-06,14
2020-04-07,14
2020-04-08,14
2020-04-09,14
2020-04-10,15
2020-04-11,15
2020-04-12,15
2020-04-13,15
2020-04-14,15
2020-04-15,15
2020-04-16,15
2020-04-17,15
2020-04-18,15
2020-04-19,15
2020-04-20,15
2020-04-21,15
2020-04-22,15
2020-04-23,15
2020-04-24,15
2020-04-25,15
2020-04-26,15
2020-04-27,15
2020-04-28,15
2020-04-29,17
2020-04-30,17
2020-05-01,17
2020-05-02,17
2020-05-03,18
2020-05-04,18
2020-05-05,18
2020-05-06,18
2020-05-07,18
2020-05-08,18
2020-05-09,18
2020-05-10,18
2020-05-11,18
2020-05-12,18
2020-05-13,18
2020-05-14,18
2020-05-15,18
2020-05-16,18
2020-05-17,18
2020-05-18,18
2020-05-19,18
2020-05-20,18
2020-05-21,18
2020-05-22,18
2020-05-23,18
2020-05-24,18
2020-05-25,18
2020-05-26,18
2020-05-27,18
2020-05-28,18
2020-05-29,18
2020-05-30,18
2020-05-31,18
2020-06-01,18
2020-06-02,18
2020-06-03,18
2020-06-04,19
2020-06-05,19
2020-06-06,19
2020-06-07,19
2020-06-08,19
2020-06-09,19
2020-06-10,19
2020-06-11,19
2020-06-12,19
2020-06-13,19
2020-06-14,19
2020-06-15,19
2020-06-16,19
2020-06-17,19
2020-06-18,19
2020-06-19,19
2020-06-20,19
2020-06-21,19
2020-06-22,19
2020-06-23,19
2020-06-24,19
2020-06-25,19
2020-06-26,19
2020-06-27,19
2020-06-28,19
2020-06-29,19
2020-06-30,19
2020-07-01,19
2020-07-02,19
2020-07-03,22
2020-07-04,22
2020-07-05,22
2020-07-06,22
2020-07-07,22
2020-07-08,22
2020-07-09,22
2020-07-10,22
2020-07-11,22
2020-07-12,22
2020-07-13,22
2020-07-14,22
2020-07-15,22
2020-07-16,23
2020-07-17,23
2020-07-18,23
2020-07-19,23
2020-07-20,23
2020-07-21,23
2020-07-22,23
2020-07-23,24
2020-07-24,24
2020-07-25,24
2020-07-26,24
2020-07-27,24
2020-07-28,24
2020-07-29,24
2020-07-30,25
2020-07-31,25
2020-08-01,25
2020-08-02,25
2020-08-03,25
2020-08-04,25
2020-08-05,25
2020-08-06,25
2020-08-07,25
2020-08-08,25
2020-08-09,25
2020-08-10,25
