date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,8
2020-03-03,10
2020-03-04,16
2020-03-05,21
2020-03-06,21
2020-03-07,23
2020-03-08,36
2020-03-09,36
2020-03-10,51
2020-03-11,62
2020-03-12,69
2020-03-13,80
2020-03-14,80
2020-03-15,101
2020-03-16,109
2020-03-17,109
2020-03-18,119
2020-03-19,119
2020-03-20,144
2020-03-21,144
2020-03-22,175
2020-03-23,187
2020-03-24,187
2020-03-25,208
2020-03-26,208
2020-03-27,223
2020-03-28,224
2020-03-29,224
2020-03-30,230
2020-03-31,236
2020-04-01,236
2020-04-02,245
2020-04-03,245
2020-04-04,259
2020-04-05,266
2020-04-06,266
2020-04-07,279
2020-04-08,279
2020-04-09,333
2020-04-10,344
2020-04-11,356
2020-04-12,356
2020-04-13,356
2020-04-14,371
2020-04-15,372
2020-04-16,426
2020-04-17,435
2020-04-18,455
2020-04-19,461
2020-04-20,462
2020-04-21,476
2020-04-22,488
2020-04-23,501
2020-04-24,513
2020-04-25,513
2020-04-26,538
2020-04-27,538
2020-04-28,553
2020-04-29,563
2020-04-30,569
2020-05-01,580
2020-05-02,580
2020-05-03,582
2020-05-04,582
2020-05-05,589
2020-05-06,608
2020-05-07,622
2020-05-08,623
2020-05-09,637
2020-05-10,628
2020-05-11,628
2020-05-12,638
2020-05-13,643
2020-05-14,648
2020-05-15,652
2020-05-16,653
2020-05-17,654
2020-05-18,654
2020-05-19,655
2020-05-20,656
2020-05-21,658
2020-05-22,661
2020-05-23,665
2020-05-24,665
2020-05-25,666
2020-05-26,666
2020-05-27,667
2020-05-28,670
2020-05-29,671
2020-05-30,671
2020-05-31,671
2020-06-01,671
2020-06-02,672
2020-06-03,674
2020-06-04,678
2020-06-05,680
2020-06-06,680
2020-06-07,680
2020-06-08,687
2020-06-09,688
2020-06-10,691
2020-06-11,691
2020-06-12,694
2020-06-13,694
2020-06-14,694
2020-06-15,694
2020-06-16,694
2020-06-17,696
2020-06-18,696
2020-06-19,696
2020-06-20,696
2020-06-21,696
2020-06-22,697
2020-06-23,698
2020-06-24,698
2020-06-25,698
2020-06-26,698
2020-06-27,698
2020-06-28,698
2020-06-29,698
2020-06-30,698
2020-07-01,698
2020-07-02,698
2020-07-03,698
2020-07-04,698
2020-07-05,698
2020-07-06,698
2020-07-07,698
2020-07-08,698
2020-07-09,699
2020-07-10,699
2020-07-11,699
2020-07-12,699
2020-07-13,699
2020-07-14,699
2020-07-15,699
2020-07-16,699
2020-07-17,699
2020-07-18,699
2020-07-19,699
2020-07-20,699
2020-07-21,699
2020-07-22,699
2020-07-23,699
2020-07-24,699
2020-07-25,699
2020-07-26,699
2020-07-27,699
2020-07-28,699
2020-07-29,699
2020-07-30,699
2020-07-31,699
2020-08-01,699
2020-08-02,699
2020-08-03,699
2020-08-04,699
2020-08-05,699
2020-08-06,699
2020-08-07,699
2020-08-08,699
2020-08-09,699
2020-08-10,699
2020-08-11,699
2020-08-12,699
2020-08-13,699
2020-08-14,699
2020-08-15,699
2020-08-16,699
2020-08-17,699
2020-08-18,702
2020-08-19,704
2020-08-20,704
2020-08-21,704
2020-08-22,704
2020-08-23,704
2020-08-24,704
2020-08-25,710
2020-08-26,710
2020-08-27,710
2020-08-28,710
2020-08-29,710
2020-08-30,710
2020-08-31,715
2020-09-01,715
2020-09-02,735
2020-09-03,735
2020-09-04,735
2020-09-05,716
2020-09-06,716
2020-09-07,716
2020-09-08,716
2020-09-09,722
2020-09-10,722
2020-09-11,722
2020-09-12,722
2020-09-13,722
2020-09-14,722
2020-09-15,723
2020-09-16,723
2020-09-17,723
2020-09-18,723
2020-09-19,723
2020-09-20,723
2020-09-21,723
2020-09-22,723
2020-09-23,723
2020-09-24,727
2020-09-25,727
2020-09-26,727
2020-09-27,727
2020-09-28,727
2020-09-29,727
2020-09-30,732
2020-10-01,732
2020-10-02,732
2020-10-03,732
2020-10-04,732
2020-10-05,732
2020-10-06,732
2020-10-07,732
2020-10-08,741
2020-10-09,741
2020-10-10,741
2020-10-11,741
2020-10-12,741
