date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,2
2020-03-04,4
2020-03-05,4
2020-03-06,4
2020-03-07,4
2020-03-08,4
2020-03-09,4
2020-03-10,4
2020-03-11,4
2020-03-12,4
2020-03-13,10
2020-03-14,10
2020-03-15,24
2020-03-16,24
2020-03-17,26
2020-03-18,31
2020-03-19,31
2020-03-20,38
2020-03-21,47
2020-03-22,67
2020-03-23,79
2020-03-24,86
2020-03-25,99
2020-03-26,105
2020-03-27,119
2020-03-28,130
2020-03-29,142
2020-03-30,162
2020-03-31,175
2020-04-01,190
2020-04-02,195
2020-04-03,207
2020-04-04,219
2020-04-05,222
2020-04-06,226
2020-04-07,237
2020-04-08,244
2020-04-09,250
2020-04-10,265
2020-04-11,278
2020-04-12,280
2020-04-13,291
2020-04-14,299
2020-04-15,314
2020-04-16,335
2020-04-17,342
2020-04-18,350
2020-04-19,367
2020-04-20,377
2020-04-21,412
2020-04-22,442
2020-04-23,479
2020-04-24,545
2020-04-25,614
2020-04-26,671
2020-04-27,736
2020-04-28,823
2020-04-29,882
2020-04-30,933
2020-05-01,1024
2020-05-02,1115
2020-05-03,1182
2020-05-04,1271
2020-05-05,1329
2020-05-06,1433
2020-05-07,1492
2020-05-08,1551
2020-05-09,1634
2020-05-10,1709
2020-05-11,1886
2020-05-12,1995
2020-05-13,2105
2020-05-14,2189
2020-05-15,2310
2020-05-16,2429
2020-05-17,2480
2020-05-18,2544
2020-05-19,2617
2020-05-20,2714
2020-05-21,2812
2020-05-22,2909
2020-05-23,2976
2020-05-24,3047
2020-05-25,3130
2020-05-26,3161
2020-05-27,3253
2020-05-28,3348
2020-05-29,3429
2020-05-30,3535
2020-05-31,3645
2020-06-01,3739
2020-06-02,3836
2020-06-03,3932
2020-06-04,4021
2020-06-05,4155
2020-06-06,4249
2020-06-07,4328
2020-06-08,4427
2020-06-09,4516
2020-06-10,4640
2020-06-11,4759
2020-06-12,4851
2020-06-13,4996
2020-06-14,5090
2020-06-15,5173
2020-06-16,5247
2020-06-17,5369
2020-06-18,5475
2020-06-19,5639
2020-06-20,5783
2020-06-21,5888
2020-06-22,5970
2020-06-23,6034
2020-06-24,6129
2020-06-25,6233
2020-06-26,6354
2020-06-27,6459
2020-06-28,6586
2020-06-29,6698
2020-06-30,6793
2020-07-01,6925
2020-07-02,7054
2020-07-03,7164
2020-07-04,7272
2020-07-05,7400
2020-07-06,7478
2020-07-07,7547
2020-07-08,7657
2020-07-09,7784
2020-07-10,7882
2020-07-11,8014
2020-07-12,8135
2020-07-13,8198
2020-07-14,8243
2020-07-15,8369
2020-07-16,8481
2020-07-17,8544
2020-07-18,8669
2020-07-19,8810
2020-07-20,8948
2020-07-21,8985
2020-07-22,9121
2020-07-23,9266
2020-07-24,9422
2020-07-25,9552
2020-07-26,9681
2020-07-27,9764
2020-07-28,9805
2020-07-29,9961
2020-07-30,10106
2020-07-31,10232
2020-08-01,10284
2020-08-02,10344
2020-08-03,10386
2020-08-04,10432
2020-08-05,10538
2020-08-06,10715
2020-08-07,10887
2020-08-08,11003
2020-08-09,11175
2020-08-10,11312
2020-08-11,11380
2020-08-12,11587
2020-08-13,11740
2020-08-14,11872
2020-08-15,12032
2020-08-16,12162
2020-08-17,12237
2020-08-18,12305
2020-08-19,12446
2020-08-20,12559
2020-08-21,12689
2020-08-22,12850
2020-08-23,12949
2020-08-24,13013
2020-08-25,13056
2020-08-26,13186
2020-08-27,13294
2020-08-28,13384
2020-08-29,13456
2020-08-30,13556
2020-08-31,13611
2020-09-01,13655
2020-09-02,13743
2020-09-03,13826
2020-09-04,13881
2020-09-05,13948
2020-09-06,13987
2020-09-07,14014
2020-09-08,14044
2020-09-09,14102
2020-09-10,14150
2020-09-11,14193
2020-09-12,14237
2020-09-13,14280
2020-09-14,14306
2020-09-15,14529
2020-09-16,14568
2020-09-17,14618
2020-09-18,14645
2020-09-19,14688
2020-09-20,14714
2020-09-21,14738
2020-09-22,14759
2020-09-23,14795
2020-09-24,14816
2020-09-25,14839
2020-09-26,14869
2020-09-27,14909
2020-09-28,14919
2020-09-29,14945
2020-09-30,14982
2020-10-01,15019
2020-10-02,15051
2020-10-03,15068
2020-10-04,15094
2020-10-05,15122
2020-10-06,15141
2020-10-07,15174
2020-10-08,15190
2020-10-09,15213
2020-10-10,15244
2020-10-11,15268
2020-10-12,15292
