date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,2.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,6.0
2020-03-14,0.0
2020-03-15,14.0
2020-03-16,0.0
2020-03-17,2.0
2020-03-18,5.0
2020-03-19,0.0
2020-03-20,7.0
2020-03-21,9.0
2020-03-22,20.0
2020-03-23,12.0
2020-03-24,7.0
2020-03-25,13.0
2020-03-26,6.0
2020-03-27,14.0
2020-03-28,11.0
2020-03-29,12.0
2020-03-30,20.0
2020-03-31,13.0
2020-04-01,15.0
2020-04-02,5.0
2020-04-03,12.0
2020-04-04,12.0
2020-04-05,3.0
2020-04-06,4.0
2020-04-07,11.0
2020-04-08,7.0
2020-04-09,6.0
2020-04-10,15.0
2020-04-11,13.0
2020-04-12,2.0
2020-04-13,11.0
2020-04-14,8.0
2020-04-15,15.0
2020-04-16,21.0
2020-04-17,7.0
2020-04-18,8.0
2020-04-19,17.0
2020-04-20,10.0
2020-04-21,35.0
2020-04-22,30.0
2020-04-23,37.0
2020-04-24,66.0
2020-04-25,69.0
2020-04-26,57.0
2020-04-27,65.0
2020-04-28,87.0
2020-04-29,59.0
2020-04-30,51.0
2020-05-01,91.0
2020-05-02,91.0
2020-05-03,67.0
2020-05-04,89.0
2020-05-05,58.0
2020-05-06,104.0
2020-05-07,59.0
2020-05-08,59.0
2020-05-09,83.0
2020-05-10,75.0
2020-05-11,177.0
2020-05-12,109.0
2020-05-13,110.0
2020-05-14,84.0
2020-05-15,121.0
2020-05-16,119.0
2020-05-17,51.0
2020-05-18,64.0
2020-05-19,73.0
2020-05-20,97.0
2020-05-21,98.0
2020-05-22,97.0
2020-05-23,67.0
2020-05-24,71.0
2020-05-25,83.0
2020-05-26,31.0
2020-05-27,92.0
2020-05-28,95.0
2020-05-29,81.0
2020-05-30,106.0
2020-05-31,110.0
2020-06-01,94.0
2020-06-02,97.0
2020-06-03,96.0
2020-06-04,89.0
2020-06-05,134.0
2020-06-06,94.0
2020-06-07,79.0
2020-06-08,99.0
2020-06-09,89.0
2020-06-10,124.0
2020-06-11,119.0
2020-06-12,92.0
2020-06-13,145.0
2020-06-14,94.0
2020-06-15,83.0
2020-06-16,74.0
2020-06-17,122.0
2020-06-18,106.0
2020-06-19,164.0
2020-06-20,144.0
2020-06-21,105.0
2020-06-22,82.0
2020-06-23,64.0
2020-06-24,95.0
2020-06-25,104.0
2020-06-26,121.0
2020-06-27,105.0
2020-06-28,127.0
2020-06-29,112.0
2020-06-30,95.0
2020-07-01,132.0
2020-07-02,129.0
2020-07-03,110.0
2020-07-04,108.0
2020-07-05,128.0
2020-07-06,78.0
2020-07-07,69.0
2020-07-08,110.0
2020-07-09,127.0
2020-07-10,98.0
2020-07-11,132.0
2020-07-12,121.0
2020-07-13,63.0
2020-07-14,45.0
2020-07-15,126.0
2020-07-16,112.0
2020-07-17,63.0
2020-07-18,125.0
2020-07-19,141.0
2020-07-20,138.0
2020-07-21,37.0
2020-07-22,136.0
2020-07-23,145.0
2020-07-24,156.0
2020-07-25,130.0
2020-07-26,129.0
2020-07-27,83.0
2020-07-28,41.0
2020-07-29,156.0
2020-07-30,145.0
2020-07-31,126.0
2020-08-01,52.0
2020-08-02,60.0
2020-08-03,42.0
2020-08-04,46.0
2020-08-05,106.0
2020-08-06,177.0
2020-08-07,172.0
2020-08-08,116.0
2020-08-09,172.0
