date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,4.0
2020-03-11,7.0
2020-03-12,7.0
2020-03-13,16.0
2020-03-14,11.0
2020-03-15,2.0
2020-03-16,7.0
2020-03-17,10.0
2020-03-18,18.0
2020-03-19,20.0
2020-03-20,32.0
2020-03-21,36.0
2020-03-22,51.0
2020-03-23,27.0
2020-03-24,54.0
2020-03-25,81.0
2020-03-26,0.0
2020-03-27,73.0
2020-03-28,202.0
2020-03-29,82.0
2020-03-30,44.0
2020-03-31,115.0
2020-04-01,160.0
2020-04-02,111.0
2020-04-03,305.0
2020-04-04,148.0
2020-04-05,284.0
2020-04-06,292.0
2020-04-07,247.0
2020-04-08,219.0
2020-04-09,201.0
2020-04-10,238.0
2020-04-11,275.0
2020-04-12,250.0
2020-04-13,424.0
2020-04-14,411.0
2020-04-15,408.0
2020-04-16,445.0
2020-04-17,372.0
2020-04-18,304.0
2020-04-19,324.0
2020-04-20,312.0
2020-04-21,260.0
2020-04-22,254.0
2020-04-23,132.0
2020-04-24,207.0
2020-04-25,296.0
2020-04-26,263.0
2020-04-27,233.0
2020-04-28,222.0
2020-04-29,227.0
2020-04-30,285.0
2020-05-01,0.0
2020-05-02,353.0
2020-05-03,102.0
2020-05-04,93.0
2020-05-05,120.0
2020-05-06,114.0
2020-05-07,57.0
2020-05-08,95.0
2020-05-09,89.0
2020-05-10,0.0
2020-05-11,144.0
2020-05-12,67.0
2020-05-13,52.0
2020-05-14,79.0
2020-05-15,64.0
2020-05-16,58.0
2020-05-17,114.0
2020-05-18,89.0
2020-05-19,34.0
2020-05-20,100.0
2020-05-21,86.0
2020-05-22,105.0
2020-05-23,68.0
2020-05-24,67.0
2020-05-25,34.0
2020-05-26,34.0
2020-05-27,48.0
2020-05-28,25.0
2020-05-29,54.0
2020-05-30,27.0
2020-05-31,31.0
2020-06-01,18.0
2020-06-02,24.0
2020-06-03,69.0
2020-06-04,48.0
2020-06-05,96.0
2020-06-06,74.0
2020-06-07,82.0
2020-06-08,73.0
2020-06-09,69.0
2020-06-10,66.0
2020-06-11,71.0
2020-06-12,73.0
2020-06-13,76.0
2020-06-14,59.0
2020-06-15,57.0
2020-06-16,59.0
2020-06-17,96.0
2020-06-18,94.0
2020-06-19,93.0
2020-06-20,94.0
2020-06-21,91.0
2020-06-22,96.0
2020-06-23,102.0
2020-06-24,143.0
2020-06-25,137.0
2020-06-26,193.0
2020-06-27,227.0
2020-06-28,254.0
2020-06-29,242.0
2020-06-30,276.0
2020-07-01,272.0
2020-07-02,359.0
2020-07-03,309.0
2020-07-04,325.0
2020-07-05,302.0
2020-07-06,289.0
2020-07-07,299.0
2020-07-08,357.0
2020-07-09,266.0
2020-07-10,386.0
2020-07-11,345.0
2020-07-12,287.0
2020-07-13,279.0
2020-07-14,344.0
2020-07-15,351.0
2020-07-16,383.0
2020-07-17,392.0
2020-07-18,389.0
2020-07-19,396.0
2020-07-20,359.0
2020-07-21,352.0
2020-07-22,426.0
2020-07-23,412.0
2020-07-24,409.0
2020-07-25,0.0
2020-07-26,878.0
2020-07-27,411.0
2020-07-28,379.0
2020-07-29,372.0
2020-07-30,321.0
2020-07-31,339.0
2020-08-01,330.0
2020-08-02,311.0
2020-08-03,258.0
2020-08-04,287.0
2020-08-05,295.0
2020-08-06,299.0
2020-08-07,276.0
2020-08-08,255.0
