date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,1
2020-04-01,2
2020-04-02,2
2020-04-03,2
2020-04-04,4
2020-04-05,6
2020-04-06,6
2020-04-07,6
2020-04-08,7
2020-04-09,7
2020-04-10,8
2020-04-11,8
2020-04-12,10
2020-04-13,10
2020-04-14,11
2020-04-15,13
2020-04-16,15
2020-04-17,26
2020-04-18,30
2020-04-19,35
2020-04-20,43
2020-04-21,50
2020-04-22,61
2020-04-23,64
2020-04-24,82
2020-04-25,82
2020-04-26,93
2020-04-27,93
2020-04-28,104
2020-04-29,104
2020-04-30,124
2020-05-01,136
2020-05-02,155
2020-05-03,166
2020-05-04,178
2020-05-05,199
2020-05-06,225
2020-05-07,231
2020-05-08,257
2020-05-09,291
2020-05-10,307
2020-05-11,338
2020-05-12,338
2020-05-13,387
2020-05-14,408
2020-05-15,447
2020-05-16,462
2020-05-17,505
2020-05-18,519
2020-05-19,534
2020-05-20,570
2020-05-21,585
2020-05-22,606
2020-05-23,621
2020-05-24,707
2020-05-25,735
2020-05-26,754
2020-05-27,782
2020-05-28,812
2020-05-29,829
2020-05-30,852
2020-05-31,861
2020-06-01,865
2020-06-02,896
2020-06-03,909
2020-06-04,914
2020-06-05,929
2020-06-06,946
2020-06-07,969
2020-06-08,1001
2020-06-09,1025
2020-06-10,1062
2020-06-11,1085
2020-06-12,1103
2020-06-13,1132
2020-06-14,1169
2020-06-15,1176
2020-06-16,1225
2020-06-17,1249
2020-06-18,1272
2020-06-19,1298
2020-06-20,1309
2020-06-21,1327
2020-06-22,1340
2020-06-23,1347
2020-06-24,1354
2020-06-25,1354
2020-06-26,1394
2020-06-27,1410
2020-06-28,1427
2020-06-29,1450
2020-06-30,1462
2020-07-01,1498
2020-07-02,1518
2020-07-03,1524
2020-07-04,1533
2020-07-05,1542
2020-07-06,1547
2020-07-07,1572
2020-07-08,1584
2020-07-09,1598
2020-07-10,1613
2020-07-11,1618
2020-07-12,1635
2020-07-13,1642
2020-07-14,1651
2020-07-15,1668
2020-07-16,1678
2020-07-17,1688
2020-07-18,1701
2020-07-19,1711
2020-07-20,1711
2020-07-21,1727
2020-07-22,1731
2020-07-23,1752
2020-07-24,1765
2020-07-25,1768
2020-07-26,1783
2020-07-27,1783
2020-07-28,1786
2020-07-29,1803
2020-07-30,1818
2020-07-31,1823
2020-08-01,1823
2020-08-02,1843
2020-08-03,1848
2020-08-04,1855
2020-08-05,1860
2020-08-06,1877
2020-08-07,1887
2020-08-08,1895
2020-08-09,1916
2020-08-10,1917
2020-08-11,1932
2020-08-12,1937
2020-08-13,1940
2020-08-14,1947
2020-08-15,1954
2020-08-16,1956
2020-08-17,1956
2020-08-18,1959
2020-08-19,1961
2020-08-20,1969
2020-08-21,1972
2020-08-22,1980
2020-08-23,1992
2020-08-24,1997
2020-08-25,2001
2020-08-26,2003
2020-08-27,2013
2020-08-28,2013
2020-08-29,2019
2020-08-30,2022
2020-08-31,2022
2020-09-01,2028
2020-09-02,2029
2020-09-03,2035
2020-09-04,2041
2020-09-05,2041
2020-09-06,2054
2020-09-07,2055
2020-09-08,2064
2020-09-09,2067
2020-09-10,2069
2020-09-11,2087
2020-09-12,2096
2020-09-13,2109
2020-09-14,2111
2020-09-15,2126
2020-09-16,2133
2020-09-17,2133
2020-09-18,2153
2020-09-19,2159
2020-09-20,2168
2020-09-21,2168
2020-09-22,2174
2020-09-23,2183
2020-09-24,2188
2020-09-25,2199
2020-09-26,2208
2020-09-27,2215
2020-09-28,2215
2020-09-29,2222
2020-09-30,2231
2020-10-01,2238
2020-10-02,2252
2020-10-03,2259
2020-10-04,2269
2020-10-05,2269
2020-10-06,2277
2020-10-07,2287
2020-10-08,2293
2020-10-09,2295
2020-10-10,2300
2020-10-11,2306
2020-10-12,2306
