date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,1
2020-03-08,3
2020-03-09,3
2020-03-10,7
2020-03-11,10
2020-03-12,16
2020-03-13,32
2020-03-14,44
2020-03-15,54
2020-03-16,63
2020-03-17,72
2020-03-18,105
2020-03-19,123
2020-03-20,137
2020-03-21,178
2020-03-22,185
2020-03-23,186
2020-03-24,204
2020-03-25,216
2020-03-26,226
2020-03-27,269
2020-03-28,292
2020-03-29,314
2020-03-30,336
2020-03-31,363
2020-04-01,400
2020-04-02,426
2020-04-03,450
2020-04-04,471
2020-04-05,485
2020-04-06,534
2020-04-07,581
2020-04-08,682
2020-04-09,701
2020-04-10,715
2020-04-11,728
2020-04-12,742
2020-04-13,769
2020-04-14,835
2020-04-15,863
2020-04-16,977
2020-04-17,1049
2020-04-18,1089
2020-04-19,1161
2020-04-20,1173
2020-04-21,1199
2020-04-22,1244
2020-04-23,1325
2020-04-24,1360
2020-04-25,1373
2020-04-26,1379
2020-04-27,1381
2020-04-28,1384
2020-04-29,1391
2020-04-30,1396
2020-05-01,1403
2020-05-02,1407
2020-05-03,1408
2020-05-04,1413
2020-05-05,1421
2020-05-06,1429
2020-05-07,1445
2020-05-08,1455
2020-05-09,1455
2020-05-10,1457
2020-05-11,1457
2020-05-12,1465
2020-05-13,1469
2020-05-14,1477
2020-05-15,1480
2020-05-16,1493
2020-05-17,1494
2020-05-18,1495
2020-05-19,1495
2020-05-20,1496
2020-05-21,1502
2020-05-22,1503
2020-05-23,1504
2020-05-24,1509
2020-05-25,1511
2020-05-26,1513
2020-05-27,1515
2020-05-28,1520
2020-05-29,1520
2020-05-30,1521
2020-05-31,1521
2020-06-01,1522
2020-06-02,1522
2020-06-03,1525
2020-06-04,1526
2020-06-05,1526
2020-06-06,1528
2020-06-07,1528
2020-06-08,1530
2020-06-09,1531
2020-06-10,1533
2020-06-11,1541
2020-06-12,1542
2020-06-13,1545
2020-06-14,1548
2020-06-15,1552
2020-06-16,1552
2020-06-17,1561
2020-06-18,1562
2020-06-19,1576
2020-06-20,1586
2020-06-21,1587
2020-06-22,1588
2020-06-23,1589
2020-06-24,1607
2020-06-25,1630
2020-06-26,1643
2020-06-27,1657
2020-06-28,1664
2020-06-29,1665
2020-06-30,1667
2020-07-01,1687
2020-07-02,1700
2020-07-03,1720
2020-07-04,1749
2020-07-05,1764
2020-07-06,1765
2020-07-07,1767
2020-07-08,1798
2020-07-09,1851
2020-07-10,1870
2020-07-11,1893
2020-07-12,1901
2020-07-13,1902
2020-07-14,1908
2020-07-15,1927
2020-07-16,1951
2020-07-17,1965
2020-07-18,1976
2020-07-19,1979
2020-07-20,1980
2020-07-21,2021
2020-07-22,2058
2020-07-23,2089
2020-07-24,2118
2020-07-25,2141
2020-07-26,2179
2020-07-27,2181
2020-07-28,2204
2020-07-29,2245
2020-07-30,2265
2020-07-31,2292
2020-08-01,2337
2020-08-02,2344
2020-08-03,2354
2020-08-04,2368
2020-08-05,2417
2020-08-06,2480
2020-08-07,2523
2020-08-08,2566
2020-08-09,2596
2020-08-10,2599
2020-08-11,2615
2020-08-12,2690
2020-08-13,2739
2020-08-14,2801
2020-08-15,2855
2020-08-16,2902
2020-08-17,2907
2020-08-18,2922
2020-08-19,3022
2020-08-20,3102
2020-08-21,3225
2020-08-22,3316
2020-08-23,3356
2020-08-24,3424
2020-08-25,3452
2020-08-26,3536
2020-08-27,3626
2020-08-28,3728
2020-08-29,3842
2020-08-30,3876
2020-08-31,3917
2020-09-01,3989
2020-09-02,4042
2020-09-03,4163
2020-09-04,4300
2020-09-05,4526
2020-09-06,4614
2020-09-07,4636
2020-09-08,4727
2020-09-09,4888
2020-09-10,5066
2020-09-11,5252
2020-09-12,5453
2020-09-13,5532
2020-09-14,5580
2020-09-15,5768
2020-09-16,5860
2020-09-17,6021
2020-09-18,6256
2020-09-19,6546
2020-09-20,6677
2020-09-21,6756
2020-09-22,6931
2020-09-23,7269
2020-09-24,7629
2020-09-25,8048
2020-09-26,8600
2020-09-27,9078
2020-09-28,9343
2020-09-29,9574
2020-09-30,10141
2020-10-01,10938
2020-10-02,11617
2020-10-03,12321
2020-10-04,13139
2020-10-05,13492
2020-10-06,13812
2020-10-07,14689
2020-10-08,15726
2020-10-09,16910
2020-10-10,18797
2020-10-11,19851
2020-10-12,20355
