date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,2
2020-03-27,3
2020-03-28,3
2020-03-29,3
2020-03-30,3
2020-03-31,5
2020-04-01,5
2020-04-02,5
2020-04-03,7
2020-04-04,7
2020-04-05,7
2020-04-06,7
2020-04-07,8
2020-04-08,12
2020-04-09,12
2020-04-10,21
2020-04-11,21
2020-04-12,25
2020-04-13,60
2020-04-14,60
2020-04-15,80
2020-04-16,80
2020-04-17,116
2020-04-18,135
2020-04-19,164
2020-04-20,237
2020-04-21,286
2020-04-22,286
2020-04-23,328
2020-04-24,328
2020-04-25,390
2020-04-26,436
2020-04-27,480
2020-04-28,528
2020-04-29,582
2020-04-30,601
2020-05-01,601
2020-05-02,671
2020-05-03,722
2020-05-04,756
2020-05-05,835
2020-05-06,873
2020-05-07,928
2020-05-08,928
2020-05-09,997
2020-05-10,1054
2020-05-11,1089
2020-05-12,1170
2020-05-13,1219
2020-05-14,1284
2020-05-15,1284
2020-05-16,1357
2020-05-17,1421
2020-05-18,1455
2020-05-19,1502
2020-05-20,1573
2020-05-21,1594
2020-05-22,1594
2020-05-23,1594
2020-05-24,1594
2020-05-25,1689
2020-05-26,1711
2020-05-27,1731
2020-05-28,1828
2020-05-29,1828
2020-05-30,1916
2020-05-31,1976
2020-06-01,2023
2020-06-02,2089
2020-06-03,2146
2020-06-04,2204
2020-06-05,2204
2020-06-06,2289
2020-06-07,2334
2020-06-08,2368
2020-06-09,2416
2020-06-10,2452
2020-06-11,2513
2020-06-12,2513
2020-06-13,2579
2020-06-14,2618
2020-06-15,2642
2020-06-16,2658
2020-06-17,2696
2020-06-18,2719
2020-06-19,2719
2020-06-20,2755
2020-06-21,2779
2020-06-22,2812
2020-06-23,2812
2020-06-24,2835
2020-06-25,2878
2020-06-26,2878
2020-06-27,2878
2020-06-28,2894
2020-06-29,2904
2020-06-30,2924
2020-07-01,2924
2020-07-02,2944
2020-07-03,2944
2020-07-04,2961
2020-07-05,2997
2020-07-06,3006
2020-07-07,3015
2020-07-08,3028
2020-07-09,3038
2020-07-10,3038
2020-07-11,3051
2020-07-12,3059
2020-07-13,3072
2020-07-14,3076
2020-07-15,3083
2020-07-16,3106
2020-07-17,3106
2020-07-18,3111
2020-07-19,3119
2020-07-20,3130
2020-07-21,3135
2020-07-22,3161
2020-07-23,3171
2020-07-24,3171
2020-07-25,3178
2020-07-26,3178
2020-07-27,3196
2020-07-28,3212
2020-07-29,3212
2020-07-30,3212
2020-07-31,3212
2020-08-01,3212
2020-08-02,3220
2020-08-03,3220
2020-08-04,3220
2020-08-05,3227
2020-08-06,3227
2020-08-07,3227
2020-08-08,3227
2020-08-09,3227
2020-08-10,3227
2020-08-11,3227
2020-08-12,3227
2020-08-13,3227
2020-08-14,3250
2020-08-15,3250
2020-08-16,3256
2020-08-17,3257
2020-08-18,3257
2020-08-19,3265
2020-08-20,3265
2020-08-21,3265
2020-08-22,3269
2020-08-23,3269
2020-08-24,3269
2020-08-25,3275
2020-08-26,3275
2020-08-27,3275
2020-08-28,3275
2020-08-29,3310
2020-08-30,3310
2020-08-31,3310
2020-09-01,3310
2020-09-02,3310
2020-09-03,3310
2020-09-04,3332
2020-09-05,3332
2020-09-06,3362
2020-09-07,3362
2020-09-08,3371
2020-09-09,3371
2020-09-10,3371
2020-09-11,3376
2020-09-12,3376
2020-09-13,3389
2020-09-14,3389
2020-09-15,3390
2020-09-16,3390
2020-09-17,3390
2020-09-18,3390
2020-09-19,3401
2020-09-20,3442
2020-09-21,3465
2020-09-22,3465
2020-09-23,3465
2020-09-24,3465
2020-09-25,3465
2020-09-26,3588
2020-09-27,3588
2020-09-28,3588
2020-09-29,3588
2020-09-30,3588
2020-10-01,3593
2020-10-02,3593
2020-10-03,3593
2020-10-04,3745
2020-10-05,3745
2020-10-06,3745
2020-10-07,3745
2020-10-08,3745
2020-10-09,3745
2020-10-10,3847
2020-10-11,3864
2020-10-12,3864
