date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,2
2020-02-10,2
2020-02-11,2
2020-02-12,2
2020-02-13,2
2020-02-14,2
2020-02-15,2
2020-02-16,2
2020-02-17,2
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,6
2020-02-26,13
2020-02-27,15
2020-02-28,32
2020-02-29,45
2020-03-01,84
2020-03-02,120
2020-03-03,165
2020-03-04,222
2020-03-05,259
2020-03-06,400
2020-03-07,500
2020-03-08,673
2020-03-09,1073
2020-03-10,1695
2020-03-11,2277
2020-03-12,2277
2020-03-13,5232
2020-03-14,6391
2020-03-15,7798
2020-03-16,9942
2020-03-17,11748
2020-03-18,13910
2020-03-19,17963
2020-03-20,20410
2020-03-21,25374
2020-03-22,28768
2020-03-23,35136
2020-03-24,39885
2020-03-25,49515
2020-03-26,57786
2020-03-27,65719
2020-03-28,73235
2020-03-29,80110
2020-03-30,87956
2020-03-31,95923
2020-04-01,104118
2020-04-02,112065
2020-04-03,119199
2020-04-04,126168
2020-04-05,131646
2020-04-06,136675
2020-04-07,141942
2020-04-08,148220
2020-04-09,153222
2020-04-10,158273
2020-04-11,163027
2020-04-12,166831
2020-04-13,170099
2020-04-14,172541
2020-04-15,177644
2020-04-16,184948
2020-04-17,190839
2020-04-18,191726
2020-04-19,198674
2020-04-20,200210
2020-04-21,204178
2020-04-22,208389
2020-04-23,213024
2020-04-24,202990
2020-04-25,205905
2020-04-26,207634
2020-04-27,209465
2020-04-28,210773
2020-04-29,212917
2020-04-30,213435
2020-05-01,215216
2020-05-02,216582
2020-05-03,217466
2020-05-04,218011
2020-05-05,219329
2020-05-06,220325
2020-05-07,221447
2020-05-08,222857
2020-05-09,223578
2020-05-10,224350
2020-05-11,227436
