date,current
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,1.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-08,1.0
2020-02-09,2.0
2020-02-10,2.0
2020-02-11,2.0
2020-02-12,2.0
2020-02-13,2.0
2020-02-14,2.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,4.0
2020-02-26,11.0
2020-02-27,13.0
2020-02-28,30.0
2020-02-29,43.0
2020-03-01,82.0
2020-03-02,118.0
2020-03-03,162.0
2020-03-04,218.0
2020-03-05,254.0
2020-03-06,393.0
2020-03-07,460.0
2020-03-08,626.0
2020-03-09,1013.0
2020-03-10,1628.0
2020-03-11,2040.0
2020-03-12,2039.0
2020-03-13,4906.0
2020-03-14,5679.0
2020-03-15,6992.0
2020-03-16,9070.0
2020-03-17,10187.0
2020-03-18,12206.0
2020-03-19,16026.0
2020-03-20,17779.0
2020-03-21,21874.0
2020-03-22,24421.0
