date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,1.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,1.0
2020-03-12,0.0
2020-03-13,4.0
2020-03-14,4.0
2020-03-15,8.0
2020-03-16,10.0
2020-03-17,16.0
2020-03-18,7.0
2020-03-19,9.0
2020-03-20,13.0
2020-03-21,4.0
2020-03-22,5.0
2020-03-23,15.0
2020-03-24,5.0
2020-03-25,0.0
2020-03-26,4.0
2020-03-27,0.0
2020-03-28,7.0
2020-03-29,4.0
2020-03-30,5.0
2020-03-31,21.0
2020-04-01,3.0
2020-04-02,5.0
2020-04-03,8.0
2020-04-04,7.0
2020-04-05,10.0
2020-04-06,2.0
2020-04-07,7.0
2020-04-08,4.0
2020-04-09,1.0
2020-04-10,0.0
2020-04-11,8.0
2020-04-12,12.0
2020-04-13,7.0
2020-04-14,16.0
2020-04-15,5.0
2020-04-16,0.0
2020-04-17,6.0
2020-04-18,10.0
2020-04-19,17.0
2020-04-20,33.0
2020-04-21,6.0
2020-04-22,20.0
2020-04-23,38.0
2020-04-24,52.0
2020-04-25,40.0
2020-04-26,63.0
2020-04-27,65.0
2020-04-28,31.0
2020-04-29,30.0
2020-04-30,14.0
2020-05-01,27.0
2020-05-02,15.0
2020-05-03,13.0
2020-05-04,33.0
2020-05-05,20.0
2020-05-06,26.0
2020-05-07,27.0
2020-05-08,11.0
2020-05-09,12.0
2020-05-10,16.0
2020-05-11,6.0
2020-05-12,20.0
2020-05-13,26.0
2020-05-14,10.0
2020-05-15,10.0
2020-05-16,25.0
2020-05-17,21.0
2020-05-18,11.0
2020-05-19,35.0
2020-05-20,1.0
2020-05-21,27.0
2020-05-22,13.0
2020-05-23,21.0
2020-05-24,52.0
2020-05-25,41.0
2020-05-26,137.0
2020-05-27,150.0
2020-05-28,61.0
2020-05-29,28.0
2020-05-30,62.0
2020-05-31,13.0
2020-06-01,10.0
2020-06-02,40.0
2020-06-03,66.0
2020-06-04,48.0
2020-06-05,4.0
2020-06-06,13.0
2020-06-07,21.0
2020-06-08,22.0
2020-06-09,2.0
2020-06-10,10.0
2020-06-11,8.0
2020-06-12,3.0
2020-06-13,4.0
2020-06-14,5.0
2020-06-15,16.0
2020-06-16,10.0
2020-06-17,9.0
2020-06-18,23.0
2020-06-19,3.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,1.0
2020-06-23,40.0
2020-06-24,10.0
2020-06-25,9.0
2020-06-26,4.0
2020-06-27,19.0
2020-06-28,4.0
2020-06-29,2.0
2020-06-30,8.0
2020-07-01,7.0
2020-07-02,12.0
2020-07-03,3.0
2020-07-04,5.0
2020-07-05,2.0
2020-07-06,1.0
2020-07-07,4.0
2020-07-08,13.0
2020-07-09,60.0
2020-07-10,300.0
2020-07-11,57.0
2020-07-12,106.0
2020-07-13,29.0
2020-07-14,19.0
2020-07-15,6.0
2020-07-16,16.0
2020-07-17,10.0
2020-07-18,6.0
2020-07-19,21.0
2020-07-20,6.0
2020-07-21,0.0
2020-07-22,22.0
2020-07-23,1.0
2020-07-24,11.0
2020-07-25,6.0
2020-07-26,12.0
2020-07-27,23.0
2020-07-28,5.0
2020-07-29,0.0
2020-07-30,4.0
2020-07-31,1.0
2020-08-01,0.0
2020-08-02,8.0
2020-08-03,5.0
2020-08-04,6.0
2020-08-05,5.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,2.0
2020-08-09,3.0
