date,confirmed
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,1.0
2020-02-01,1.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-08,1.0
2020-02-09,1.0
2020-02-10,1.0
2020-02-11,1.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-15,1.0
2020-02-16,1.0
2020-02-17,1.0
2020-02-18,1.0
2020-02-19,1.0
2020-02-20,1.0
2020-02-21,1.0
2020-02-22,1.0
2020-02-23,1.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,2.0
2020-02-27,7.0
2020-02-28,7.0
2020-02-29,12.0
2020-03-01,14.0
2020-03-02,15.0
2020-03-03,21.0
2020-03-04,35.0
2020-03-05,94.0
2020-03-06,101.0
2020-03-07,161.0
2020-03-08,203.0
2020-03-09,248.0
2020-03-10,355.0
2020-03-11,500.0
2020-03-12,599.0
2020-03-13,814.0
2020-03-14,961.0
2020-03-15,1022.0
2020-03-16,1103.0
2020-03-17,1190.0
2020-03-18,1279.0
2020-03-19,1439.0
2020-03-20,1639.0
2020-03-21,1763.0
2020-03-22,1934.0
2020-03-23,1934.0
