date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,1.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,5.0
2020-02-28,0.0
2020-02-29,5.0
2020-03-01,2.0
2020-03-02,1.0
2020-03-03,6.0
2020-03-04,14.0
2020-03-05,59.0
2020-03-06,7.0
2020-03-07,60.0
2020-03-08,42.0
2020-03-09,45.0
2020-03-10,107.0
2020-03-11,145.0
2020-03-12,99.0
2020-03-13,215.0
2020-03-14,147.0
2020-03-15,61.0
2020-03-16,81.0
2020-03-17,87.0
2020-03-18,89.0
2020-03-19,160.0
2020-03-20,200.0
2020-03-21,124.0
2020-03-22,171.0
2020-03-23,112.0
2020-03-24,240.0
2020-03-25,240.0
2020-03-26,314.0
2020-03-27,229.0
2020-03-28,378.0
2020-03-29,253.0
2020-03-30,328.0
2020-03-31,407.0
2020-04-01,512.0
2020-04-02,621.0
2020-04-03,563.0
2020-04-04,312.0
2020-04-05,387.0
2020-04-06,376.0
2020-04-07,487.0
2020-04-08,726.0
2020-04-09,722.0
2020-04-10,544.0
2020-04-11,466.0
2020-04-12,332.0
2020-04-13,465.0
2020-04-14,497.0
2020-04-15,482.0
2020-04-16,613.0
2020-04-17,676.0
2020-04-18,606.0
2020-04-19,563.0
2020-04-20,392.0
2020-04-21,545.0
2020-04-22,682.0
2020-04-23,751.0
2020-04-24,812.0
2020-04-25,610.0
2020-04-26,463.0
2020-04-27,286.0
2020-04-28,695.0
2020-04-29,681.0
2020-04-30,790.0
2020-05-01,428.0
2020-05-02,562.0
2020-05-03,235.0
2020-05-04,404.0
2020-05-05,495.0
2020-05-06,702.0
2020-05-07,705.0
2020-05-08,642.0
2020-05-09,656.0
2020-05-10,401.0
2020-05-11,348.0
2020-05-12,602.0
2020-05-13,637.0
2020-05-14,673.0
2020-05-15,625.0
2020-05-16,470.0
2020-05-17,466.0
2020-05-18,234.0
2020-05-19,422.0
2020-05-20,724.0
2020-05-21,649.0
2020-05-22,637.0
2020-05-23,379.0
2020-05-24,271.0
2020-05-25,384.0
2020-05-26,597.0
2020-05-27,648.0
2020-05-28,639.0
2020-05-29,749.0
2020-05-30,637.0
2020-05-31,429.0
2020-06-01,272.0
2020-06-02,775.0
2020-06-03,2214.0
2020-06-04,1080.0
2020-06-05,1056.0
2020-06-06,948.0
2020-06-07,843.0
2020-06-08,403.0
2020-06-09,791.0
2020-06-10,890.0
2020-06-11,1474.0
2020-06-12,1396.0
2020-06-13,1247.0
2020-06-14,683.0
2020-06-15,769.0
2020-06-16,940.0
2020-06-17,1239.0
2020-06-18,1481.0
2020-06-19,2033.0
2020-06-20,515.0
2020-06-21,257.0
2020-06-22,84.0
2020-06-23,1905.0
2020-06-24,1487.0
2020-06-25,1566.0
2020-06-26,1247.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,2530.0
2020-06-30,784.0
2020-07-01,1241.0
2020-07-02,947.0
2020-07-03,780.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,1642.0
2020-07-07,283.0
2020-07-08,514.0
2020-07-09,475.0
2020-07-10,565.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,928.0
2020-07-14,175.0
2020-07-15,491.0
2020-07-16,385.0
2020-07-17,404.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,767.0
2020-07-21,118.0
2020-07-22,338.0
2020-07-23,259.0
2020-07-24,234.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,398.0
2020-07-28,99.0
2020-07-29,288.0
2020-07-30,318.0
2020-07-31,322.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,590.0
2020-08-04,169.0
2020-08-05,359.0
2020-08-06,427.0
2020-08-07,356.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,649.0
