date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,1
2020-02-26,1
2020-02-27,8
2020-02-28,8
2020-02-29,18
2020-03-01,27
2020-03-02,42
2020-03-03,56
2020-03-04,90
2020-03-05,114
2020-03-06,214
2020-03-07,268
2020-03-08,337
2020-03-09,374
2020-03-10,491
2020-03-11,652
2020-03-12,652
2020-03-13,1139
2020-03-14,1359
2020-03-15,2200
2020-03-16,2200
2020-03-17,2700
2020-03-18,3028
2020-03-19,4075
2020-03-20,5294
2020-03-21,6575
2020-03-22,7474
2020-03-23,8795
2020-03-24,9877
2020-03-25,10897
2020-03-26,11811
2020-03-27,12928
2020-03-28,14076
2020-03-29,14829
2020-03-30,15922
2020-03-31,16605
2020-04-01,17768
2020-04-02,18827
2020-04-03,19606
2020-04-04,20505
2020-04-05,21100
2020-04-06,21657
2020-04-07,22253
2020-04-08,23280
2020-04-09,24051
2020-04-10,24551
2020-04-11,25107
2020-04-12,25415
2020-04-13,25688
2020-04-14,25936
2020-04-15,26336
2020-04-16,26732
2020-04-17,27078
2020-04-18,27404
2020-04-19,27740
2020-04-20,27944
2020-04-21,28063
2020-04-22,28268
2020-04-23,28496
2020-04-24,28677
2020-04-25,28894
2020-04-26,29061
2020-04-27,29164
2020-04-28,29264
2020-04-29,29407
2020-04-30,29586
2020-05-01,29705
2020-05-02,29817
2020-05-03,29905
2020-05-04,29981
2020-05-05,30009
2020-05-06,30060
2020-05-07,30126
2020-05-08,30207
2020-05-09,30251
2020-05-10,30305
2020-05-11,30344
2020-05-12,30380
2020-05-13,30413
2020-05-14,30463
2020-05-15,30514
2020-05-16,30572
2020-05-17,30587
2020-05-18,30597
2020-05-19,30618
2020-05-20,30658
2020-05-21,30694
2020-05-22,30707
2020-05-23,30725
2020-05-24,30736
2020-05-25,30746
2020-05-26,30761
2020-05-27,30776
2020-05-28,30796
2020-05-29,30828
2020-05-30,30845
2020-05-31,30862
2020-06-01,30871
2020-06-02,30874
2020-06-03,30893
2020-06-04,30913
2020-06-05,30936
2020-06-06,30956
2020-06-07,30965
2020-06-08,30972
2020-06-09,30988
2020-06-10,31011
2020-06-11,31044
2020-06-12,31063
2020-06-13,31094
2020-06-14,31117
2020-06-15,31131
2020-06-16,31154
2020-06-17,31187
2020-06-18,31200
2020-06-19,31235
2020-06-20,31243
2020-06-21,31292
2020-06-22,31310
2020-06-23,31332
2020-06-24,31376
2020-06-25,31428
2020-06-26,31486
2020-06-27,31555
2020-06-28,31617
2020-06-29,31652
2020-06-30,31714
2020-07-01,31851
2020-07-02,31967
2020-07-03,32101
2020-07-04,32198
2020-07-05,32268
2020-07-06,32315
2020-07-07,32369
2020-07-08,32498
2020-07-09,32586
2020-07-10,32690
2020-07-11,32817
2020-07-12,32883
2020-07-13,32946
2020-07-14,33016
2020-07-15,33148
2020-07-16,33290
2020-07-17,33382
2020-07-18,33492
2020-07-19,33591
2020-07-20,33634
2020-07-21,33742
2020-07-22,33883
2020-07-23,34000
2020-07-24,34154
2020-07-25,34302
2020-07-26,34412
2020-07-27,34477
2020-07-28,34609
2020-07-29,34802
2020-07-30,35022
2020-07-31,35232
2020-08-01,35412
2020-08-02,35550
2020-08-03,35616
2020-08-04,35746
2020-08-05,35927
2020-08-06,36108
2020-08-07,36269
2020-08-08,36451
2020-08-09,36603
2020-08-10,36708
