date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,2
2020-03-09,2
2020-03-10,3
2020-03-11,4
2020-03-12,4
2020-03-13,11
2020-03-14,13
2020-03-15,14
2020-03-16,14
2020-03-17,27
2020-03-18,28
2020-03-19,41
2020-03-20,54
2020-03-21,75
2020-03-22,98
2020-03-23,120
2020-03-24,122
2020-03-25,153
2020-03-26,191
2020-03-27,231
2020-03-28,264
2020-03-29,300
2020-03-30,359
2020-03-31,433
2020-04-01,488
2020-04-02,536
2020-04-03,591
2020-04-04,666
2020-04-05,715
2020-04-06,765
2020-04-07,821
2020-04-08,895
2020-04-09,948
2020-04-10,1002
2020-04-11,1036
2020-04-12,1106
2020-04-13,1138
2020-04-14,1174
2020-04-15,1239
2020-04-16,1281
2020-04-17,1327
2020-04-18,1368
2020-04-19,1393
2020-04-20,1429
2020-04-21,1478
2020-04-22,1509
2020-04-23,1549
2020-04-24,1589
2020-04-25,1599
2020-04-26,1610
2020-04-27,1665
2020-04-28,1699
2020-04-29,1716
2020-04-30,1737
2020-05-01,1754
2020-05-02,1762
2020-05-03,1762
2020-05-04,1784
2020-05-05,1795
2020-05-06,1805
2020-05-07,1810
2020-05-08,1823
2020-05-09,1830
2020-05-10,1833
2020-05-11,1845
2020-05-12,1867
2020-05-13,1870
2020-05-14,1872
2020-05-15,1878
2020-05-16,1879
2020-05-17,1881
2020-05-18,1886
2020-05-19,1891
2020-05-20,1892
2020-05-21,1898
2020-05-22,1903
2020-05-23,1905
2020-05-24,1906
2020-05-25,1913
2020-05-26,1915
2020-05-27,1917
2020-05-28,1919
2020-05-29,1919
2020-05-30,1919
2020-05-31,1920
2020-06-01,1920
2020-06-02,1920
2020-06-03,1921
2020-06-04,1921
2020-06-05,1921
2020-06-06,1921
2020-06-07,1921
2020-06-08,1923
2020-06-09,1934
2020-06-10,1936
2020-06-11,1937
2020-06-12,1938
2020-06-13,1938
2020-06-14,1938
2020-06-15,1939
2020-06-16,1954
2020-06-17,1956
2020-06-18,1956
2020-06-19,1956
2020-06-20,1956
2020-06-21,1956
2020-06-22,1956
2020-06-23,1956
2020-06-24,1958
2020-06-25,1958
2020-06-26,1962
2020-06-27,1962
2020-06-28,1962
2020-06-29,1962
2020-06-30,1963
2020-07-01,1965
2020-07-02,1965
2020-07-03,1965
2020-07-04,1965
2020-07-05,1965
2020-07-06,1965
2020-07-07,1966
2020-07-08,1966
2020-07-09,1966
2020-07-10,1966
2020-07-11,1968
2020-07-12,1968
2020-07-13,1968
2020-07-14,1968
2020-07-15,1968
2020-07-16,1969
2020-07-17,1969
2020-07-18,1969
2020-07-19,1969
2020-07-20,1971
2020-07-21,1972
2020-07-22,1972
2020-07-23,1975
2020-07-24,1977
2020-07-25,1977
2020-07-26,1977
2020-07-27,1978
2020-07-28,1978
2020-07-29,1979
2020-07-30,1980
2020-07-31,1981
2020-08-01,1981
2020-08-02,1981
2020-08-03,1981
2020-08-04,1981
2020-08-05,1984
2020-08-06,1985
2020-08-07,1986
2020-08-08,1986
2020-08-09,1986
2020-08-10,1987
2020-08-11,1990
2020-08-12,1991
2020-08-13,1991
2020-08-14,1991
2020-08-15,1991
2020-08-16,1991
2020-08-17,1991
2020-08-18,1992
2020-08-19,1996
2020-08-20,1998
2020-08-21,2000
2020-08-22,2000
2020-08-23,2001
2020-08-24,2001
2020-08-25,2002
2020-08-26,2003
2020-08-27,2003
2020-08-28,2004
2020-08-29,2005
2020-08-30,2005
2020-08-31,2006
2020-09-01,2011
2020-09-02,2011
2020-09-03,2013
2020-09-04,2013
2020-09-05,2013
2020-09-06,2013
2020-09-07,2014
2020-09-08,2018
2020-09-09,2019
2020-09-10,2020
2020-09-11,2020
2020-09-12,2020
2020-09-13,2021
2020-09-14,2025
2020-09-15,2028
2020-09-16,2039
2020-09-17,2042
2020-09-18,2045
2020-09-19,2045
2020-09-20,2045
2020-09-21,2050
2020-09-22,2054
2020-09-23,2060
2020-09-24,2061
2020-09-25,2064
2020-09-26,2064
2020-09-27,2064
2020-09-28,2065
2020-09-29,2069
2020-09-30,2074
2020-10-01,2074
2020-10-02,2075
2020-10-03,2076
2020-10-04,2077
2020-10-05,2078
2020-10-06,2081
2020-10-07,2082
2020-10-08,2087
2020-10-09,2088
2020-10-10,2088
2020-10-11,2088
2020-10-12,2096
