date,confirmed
2020-01-22,1
2020-01-23,1
2020-01-24,3
2020-01-25,3
2020-01-26,4
2020-01-27,5
2020-01-28,8
2020-01-29,8
2020-01-30,9
2020-01-31,10
2020-02-01,10
2020-02-02,10
2020-02-03,10
2020-02-04,11
2020-02-05,11
2020-02-06,16
2020-02-07,16
2020-02-08,17
2020-02-09,18
2020-02-10,18
2020-02-11,18
2020-02-12,18
2020-02-13,18
2020-02-14,18
2020-02-15,18
2020-02-16,20
2020-02-17,22
2020-02-18,22
2020-02-19,23
2020-02-20,24
2020-02-21,26
2020-02-22,26
2020-02-23,28
2020-02-24,30
2020-02-25,31
2020-02-26,32
2020-02-27,32
2020-02-28,34
2020-02-29,39
2020-03-01,40
2020-03-02,41
2020-03-03,42
2020-03-04,42
2020-03-05,44
2020-03-06,45
2020-03-07,45
2020-03-08,45
2020-03-09,45
2020-03-10,47
2020-03-11,48
2020-03-12,49
2020-03-13,50
2020-03-14,53
2020-03-15,59
2020-03-16,67
2020-03-17,77
2020-03-18,100
2020-03-19,108
2020-03-20,135
2020-03-21,153
2020-03-22,169
2020-03-23,195
2020-03-24,215
2020-03-25,235
2020-03-26,252
2020-03-27,267
2020-03-28,283
2020-03-29,298
2020-03-30,306
2020-03-31,322
2020-04-01,329
2020-04-02,339
2020-04-03,348
2020-04-04,355
2020-04-05,363
2020-04-06,373
2020-04-07,376
2020-04-08,379
2020-04-09,380
2020-04-10,382
2020-04-11,385
2020-04-12,388
2020-04-13,393
2020-04-14,393
2020-04-15,395
2020-04-16,395
2020-04-17,395
2020-04-18,398
2020-04-19,420
2020-04-20,422
2020-04-21,425
2020-04-22,426
2020-04-23,427
2020-04-24,428
2020-04-25,429
2020-04-26,429
2020-04-27,429
2020-04-28,429
2020-04-29,429
2020-04-30,429
2020-05-01,429
2020-05-02,432
2020-05-03,436
2020-05-04,438
2020-05-05,438
2020-05-06,439
2020-05-07,440
2020-05-08,440
2020-05-09,440
2020-05-10,440
2020-05-11,440
2020-05-12,440
2020-05-13,440
2020-05-14,440
2020-05-15,440
2020-05-16,440
2020-05-17,440
2020-05-18,440
2020-05-19,440
2020-05-20,440
2020-05-21,440
2020-05-22,441
2020-05-23,441
2020-05-24,441
2020-05-25,441
2020-05-26,441
2020-05-27,441
2020-05-28,441
2020-05-29,442
2020-05-30,442
2020-05-31,442
2020-06-01,443
2020-06-02,443
2020-06-03,443
2020-06-04,443
2020-06-05,443
2020-06-06,443
2020-06-07,443
2020-06-08,443
2020-06-09,443
2020-06-10,443
2020-06-11,443
2020-06-12,443
2020-06-13,443
2020-06-14,443
2020-06-15,445
2020-06-16,445
2020-06-17,445
2020-06-18,446
2020-06-19,446
2020-06-20,446
2020-06-21,446
2020-06-22,446
2020-06-23,446
2020-06-24,446
2020-06-25,447
2020-06-26,447
2020-06-27,447
2020-06-28,447
2020-06-29,447
2020-06-30,447
2020-07-01,447
2020-07-02,448
2020-07-03,449
2020-07-04,449
2020-07-05,449
2020-07-06,449
2020-07-07,449
2020-07-08,449
2020-07-09,449
2020-07-10,449
2020-07-11,451
2020-07-12,451
2020-07-13,451
2020-07-14,451
2020-07-15,451
2020-07-16,451
2020-07-17,451
2020-07-18,451
2020-07-19,451
2020-07-20,451
2020-07-21,451
2020-07-22,455
2020-07-23,455
2020-07-24,458
2020-07-25,458
2020-07-26,458
2020-07-27,462
2020-07-28,467
2020-07-29,467
2020-07-30,467
2020-07-31,467
2020-08-01,474
2020-08-02,475
2020-08-03,474
2020-08-04,476
2020-08-05,476
2020-08-06,477
2020-08-07,477
2020-08-08,479
2020-08-09,477
