date,current
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,3.0
2020-01-25,3.0
2020-01-26,4.0
2020-01-27,5.0
2020-01-28,8.0
2020-01-29,8.0
2020-01-30,9.0
2020-01-31,10.0
2020-02-01,10.0
2020-02-02,10.0
2020-02-03,10.0
2020-02-04,11.0
2020-02-05,11.0
2020-02-06,15.0
2020-02-07,15.0
2020-02-08,16.0
2020-02-09,17.0
2020-02-10,17.0
2020-02-11,17.0
2020-02-12,17.0
2020-02-13,17.0
2020-02-14,16.0
2020-02-15,16.0
2020-02-16,17.0
2020-02-17,19.0
2020-02-18,19.0
2020-02-19,20.0
2020-02-20,21.0
2020-02-21,23.0
2020-02-22,23.0
2020-02-23,25.0
2020-02-24,24.0
2020-02-25,25.0
2020-02-26,26.0
2020-02-27,26.0
2020-02-28,27.0
2020-02-29,29.0
2020-03-01,30.0
2020-03-02,28.0
2020-03-03,29.0
2020-03-04,29.0
2020-03-05,31.0
2020-03-06,32.0
2020-03-07,32.0
2020-03-08,31.0
2020-03-09,29.0
2020-03-10,29.0
2020-03-11,30.0
2020-03-12,28.0
2020-03-13,29.0
2020-03-14,32.0
2020-03-15,38.0
2020-03-16,46.0
2020-03-17,54.0
2020-03-18,77.0
2020-03-19,81.0
2020-03-20,107.0
2020-03-21,123.0
2020-03-22,139.0
