date,recovered
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-08,1.0
2020-02-09,1.0
2020-02-10,1.0
2020-02-11,1.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,2.0
2020-02-15,2.0
2020-02-16,2.0
2020-02-17,2.0
2020-02-18,2.0
2020-02-19,2.0
2020-02-20,2.0
2020-02-21,2.0
2020-02-22,2.0
2020-02-23,2.0
2020-02-24,5.0
2020-02-25,5.0
2020-02-26,5.0
2020-02-27,5.0
2020-02-28,6.0
2020-02-29,9.0
2020-03-01,9.0
2020-03-02,12.0
2020-03-03,12.0
2020-03-04,12.0
2020-03-05,12.0
2020-03-06,12.0
2020-03-07,12.0
2020-03-08,13.0
2020-03-09,15.0
2020-03-10,17.0
2020-03-11,17.0
2020-03-12,20.0
2020-03-13,20.0
2020-03-14,20.0
2020-03-15,20.0
2020-03-16,20.0
2020-03-17,22.0
2020-03-18,22.0
2020-03-19,26.0
2020-03-20,26.0
2020-03-21,28.0
2020-03-22,28.0
