date,current
2020-01-22,2
2020-01-23,3
2020-01-24,5
2020-01-25,7
2020-01-26,6
2020-01-27,6
2020-01-28,9
2020-01-29,9
2020-01-30,9
2020-01-31,14
2020-02-01,14
2020-02-02,14
2020-02-03,14
2020-02-04,20
2020-02-05,20
2020-02-06,20
2020-02-07,20
2020-02-08,22
2020-02-09,22
2020-02-10,22
2020-02-11,23
2020-02-12,23
2020-02-13,21
2020-02-14,21
2020-02-15,21
2020-02-16,20
2020-02-17,20
2020-02-18,20
2020-02-19,20
2020-02-20,20
2020-02-21,18
2020-02-22,18
2020-02-23,14
2020-02-24,14
2020-02-25,15
2020-02-26,18
2020-02-27,18
2020-02-28,13
2020-02-29,14
2020-03-01,13
2020-03-02,11
2020-03-03,11
2020-03-04,11
2020-03-05,15
2020-03-06,16
2020-03-07,18
2020-03-08,18
2020-03-09,18
2020-03-10,19
2020-03-11,24
2020-03-12,35
2020-03-13,39
2020-03-14,46
2020-03-15,78
2020-03-16,111
2020-03-17,135
2020-03-18,169
2020-03-19,229
2020-03-20,279
