date,new
2020-01-22,0.0
2020-01-23,1.0
2020-01-24,2.0
2020-01-25,2.0
2020-01-26,1.0
2020-01-27,0.0
2020-01-28,6.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,5.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,6.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,7.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,1.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,1.0
2020-02-17,1.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,2.0
2020-02-26,3.0
2020-02-27,0.0
2020-02-28,1.0
2020-02-29,1.0
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,4.0
2020-03-06,1.0
2020-03-07,2.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,3.0
2020-03-11,6.0
2020-03-12,11.0
2020-03-13,5.0
2020-03-14,7.0
2020-03-15,32.0
2020-03-16,33.0
2020-03-17,30.0
2020-03-18,35.0
2020-03-19,60.0
2020-03-20,50.0
2020-03-21,89.0
2020-03-22,188.0
2020-03-23,122.0
2020-03-24,106.0
2020-03-25,107.0
2020-03-26,111.0
2020-03-27,91.0
2020-03-28,109.0
2020-03-29,143.0
2020-03-30,136.0
2020-03-31,127.0
2020-04-01,120.0
2020-04-02,104.0
2020-04-03,103.0
2020-04-04,89.0
2020-04-05,102.0
2020-04-06,51.0
